pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,node_risk,tx_ms,rx_ms,recv_count,lost_count,rssi,src_mac,source_mode
1784521891.6125374,cane,4125577512,6851,0,37.0,127.0,0.0,0.0,0,700603,7269835,47819,90105,-39,30:76:F5:E7:51:28,test
1784521891.7148373,cane,4125577512,6852,0,37.0,127.0,0.0,0.0,0,700705,7269938,47820,90105,-38,30:76:F5:E7:51:28,test
1784521891.8172593,cane,4125577512,6853,0,37.0,127.0,0.0,0.0,0,700807,7270040,47821,90105,-40,30:76:F5:E7:51:28,test
1784521891.9196017,cane,4125577512,6854,0,37.0,127.0,0.0,0.0,0,700909,7270143,47822,90105,-39,30:76:F5:E7:51:28,test
1784521892.0193624,cane,4125577512,6855,0,37.0,127.0,0.0,0.0,0,701011,7270242,47823,90105,-44,30:76:F5:E7:51:28,test
1784521892.1213949,cane,4125577512,6856,0,37.0,127.0,0.0,0.0,0,701113,7270344,47824,90105,-45,30:76:F5:E7:51:28,test
1784521892.2235005,cane,4125577512,6857,0,37.0,127.0,0.0,0.0,0,701215,7270446,47825,90105,-43,30:76:F5:E7:51:28,test
1784521892.32548,cane,4125577512,6858,0,37.0,127.0,0.0,0.0,0,701317,7270548,47826,90105,-41,30:76:F5:E7:51:28,test
1784521892.4273875,cane,4125577512,6859,0,37.0,127.0,0.0,0.0,0,701419,7270650,47827,90105,-44,30:76:F5:E7:51:28,test
1784521892.5302794,cane,4125577512,6860,0,37.0,127.0,0.0,0.0,0,701521,7270753,47828,90105,-44,30:76:F5:E7:51:28,test
1784521892.631385,cane,4125577512,6861,0,37.0,127.0,0.0,0.0,0,701623,7270854,47829,90105,-44,30:76:F5:E7:51:28,test
1784521892.7333555,cane,4125577512,6862,0,37.0,127.0,0.0,0.0,0,701725,7270956,47830,90105,-43,30:76:F5:E7:51:28,test
1784521892.8419776,cane,4125577512,6863,0,37.0,127.0,0.0,0.0,0,701827,7271065,47831,90105,-43,30:76:F5:E7:51:28,test
1784521892.937389,cane,4125577512,6864,0,37.0,127.0,0.0,0.0,0,701929,7271160,47832,90105,-43,30:76:F5:E7:51:28,test
1784521893.0393384,cane,4125577512,6865,0,37.0,127.0,0.0,0.0,0,702031,7271262,47833,90105,-43,30:76:F5:E7:51:28,test
1784521893.1413922,cane,4125577512,6866,0,37.0,127.0,0.0,0.0,0,702133,7271364,47834,90105,-43,30:76:F5:E7:51:28,test
1784521893.243423,cane,4125577512,6867,0,37.0,127.0,0.0,0.0,0,702235,7271466,47835,90105,-43,30:76:F5:E7:51:28,test
1784521893.3454251,cane,4125577512,6868,0,37.0,127.0,0.0,0.0,0,702337,7271568,47836,90105,-43,30:76:F5:E7:51:28,test
1784521893.4482203,cane,4125577512,6869,0,37.0,127.0,0.0,0.0,0,702439,7271671,47837,90105,-43,30:76:F5:E7:51:28,test
1784521893.549353,cane,4125577512,6870,0,37.0,127.0,0.0,0.0,0,702541,7271772,47838,90105,-43,30:76:F5:E7:51:28,test
1784521893.6514115,cane,4125577512,6871,0,37.0,127.0,0.0,0.0,0,702643,7271874,47839,90105,-44,30:76:F5:E7:51:28,test
1784521893.7533479,cane,4125577512,6872,0,37.0,127.0,0.0,0.0,0,702745,7271976,47840,90105,-45,30:76:F5:E7:51:28,test
1784521893.8555396,cane,4125577512,6873,0,37.0,127.0,0.0,0.0,0,702847,7272078,47841,90105,-44,30:76:F5:E7:51:28,test
1784521893.9573424,cane,4125577512,6874,0,37.0,127.0,0.0,0.0,0,702949,7272180,47842,90105,-44,30:76:F5:E7:51:28,test
1784521894.0593383,cane,4125577512,6875,0,37.0,127.0,0.0,0.0,0,703051,7272282,47843,90105,-44,30:76:F5:E7:51:28,test
1784521894.161662,cane,4125577512,6876,0,37.0,127.0,0.0,0.0,0,703153,7272385,47844,90105,-44,30:76:F5:E7:51:28,test
1784521908.7471666,cane,4125577512,7019,0,37.0,127.0,0.0,0.0,0,717739,7286970,47987,90105,-39,30:76:F5:E7:51:28,test
1784521908.849489,cane,4125577512,7020,0,37.0,127.0,0.0,0.0,0,717841,7287072,47988,90105,-43,30:76:F5:E7:51:28,test
1784521908.9513552,cane,4125577512,7021,0,37.0,127.0,0.0,0.0,0,717943,7287174,47989,90105,-39,30:76:F5:E7:51:28,test
1784521909.0533514,cane,4125577512,7022,0,37.0,127.0,0.0,0.0,0,718045,7287276,47990,90105,-39,30:76:F5:E7:51:28,test
1784521909.1553955,cane,4125577512,7023,0,37.0,127.0,0.0,0.0,0,718147,7287378,47991,90105,-39,30:76:F5:E7:51:28,test
1784521909.2573447,cane,4125577512,7024,0,37.0,127.0,0.0,0.0,0,718249,7287480,47992,90105,-39,30:76:F5:E7:51:28,test
1784521909.3593504,cane,4125577512,7025,0,37.0,127.0,0.0,0.0,0,718351,7287582,47993,90105,-41,30:76:F5:E7:51:28,test
1784521909.4616032,cane,4125577512,7026,0,37.0,127.0,0.0,0.0,0,718453,7287684,47994,90105,-40,30:76:F5:E7:51:28,test
1784521909.5635374,cane,4125577512,7027,0,37.0,127.0,0.0,0.0,0,718555,7287786,47995,90105,-42,30:76:F5:E7:51:28,test
1784521909.665474,cane,4125577512,7028,0,37.0,127.0,0.0,0.0,0,718657,7287888,47996,90105,-43,30:76:F5:E7:51:28,test
1784521909.7674263,cane,4125577512,7029,0,37.0,127.0,0.0,0.0,0,718759,7287990,47997,90105,-43,30:76:F5:E7:51:28,test
1784521909.8694544,cane,4125577512,7030,0,37.0,127.0,0.0,0.0,0,718861,7288092,47998,90105,-43,30:76:F5:E7:51:28,test
1784521909.9714346,cane,4125577512,7031,0,37.0,127.0,0.0,0.0,0,718963,7288194,47999,90105,-42,30:76:F5:E7:51:28,test
1784521910.0734563,cane,4125577512,7032,0,37.0,127.0,0.0,0.0,0,719065,7288296,48000,90105,-38,30:76:F5:E7:51:28,test
1784521910.1755621,cane,4125577512,7033,0,37.0,127.0,0.0,0.0,0,719167,7288398,48001,90105,-38,30:76:F5:E7:51:28,test
1784521910.2774696,cane,4125577512,7034,0,37.0,127.0,0.0,0.0,0,719269,7288500,48002,90105,-38,30:76:F5:E7:51:28,test
1784521910.3793986,cane,4125577512,7035,0,37.0,127.0,0.0,0.0,0,719371,7288602,48003,90105,-41,30:76:F5:E7:51:28,test
1784521910.4816988,cane,4125577512,7036,0,37.0,127.0,0.0,0.0,0,719473,7288705,48004,90105,-41,30:76:F5:E7:51:28,test
1784521910.58402,cane,4125577512,7037,0,37.0,127.0,0.0,0.0,0,719575,7288806,48005,90105,-37,30:76:F5:E7:51:28,test
