pc_time,cane_seq,vehicle_seq,distance_m,closing_los,ttc,vehicle_speed,dcpa,base_score,gate,final_score,risk_level
1784714383.508,37814,18,32.666,5.009,6.521,5.0,0.0,44.0,1.0,44.0,1
1784714383.609,37815,18,32.161,5.009,6.421,5.0,0.0,44.0,1.0,44.0,1
1784714383.711,37816,18,31.651,5.009,6.319,5.0,0.0,44.0,1.0,44.0,1
1784714383.712,37816,19,31.644,5.01,6.316,5.0,0.0,44.0,1.0,44.0,1
1784714383.813,37817,19,31.139,5.01,6.215,5.0,0.0,44.0,1.0,44.0,1
1784714383.915,37818,19,30.628,5.01,6.113,5.0,0.0,44.0,1.0,44.0,1
1784714383.916,37818,20,30.62,5.01,6.112,5.0,0.0,44.0,1.0,44.0,1
1784714384.017,37819,20,30.116,5.01,6.011,5.0,0.0,44.0,1.0,44.0,1
1784714384.119,37820,20,29.605,5.01,5.909,5.0,0.0,44.0,1.0,44.0,1
1784714384.121,37820,21,29.597,5.01,5.908,5.0,0.0,44.0,1.0,44.0,1
1784714384.221,37821,21,29.095,5.01,5.807,5.0,0.0,44.0,1.0,44.0,1
1784714384.323,37822,21,28.584,5.01,5.705,5.0,0.0,44.0,1.0,44.0,1
1784714384.324,37822,22,28.578,5.009,5.705,5.0,0.0,44.0,1.0,44.0,1
1784714384.425,37823,22,28.074,5.009,5.604,5.0,0.0,44.0,1.0,44.0,1
1784714384.527,37824,22,27.562,5.009,5.502,5.0,0.0,44.0,1.0,44.0,1
1784714384.528,37824,23,27.557,5.008,5.502,5.0,0.0,44.0,1.0,44.0,1
1784714384.629,37825,23,27.053,5.008,5.401,5.0,0.0,44.0,1.0,44.0,1
1784714384.731,37826,23,26.542,5.008,5.299,5.0,0.0,44.0,1.0,44.0,1
1784714384.732,37826,24,26.537,5.008,5.299,5.0,0.0,44.0,1.0,44.0,1
1784714384.838,37827,24,26.01,5.008,5.194,5.0,0.0,44.0,1.0,44.0,1
1784714384.935,37828,24,25.522,5.008,5.097,5.0,0.0,44.0,1.0,44.0,1
1784714384.936,37828,25,25.516,5.006,5.097,5.0,0.0,44.0,1.0,44.0,1
1784714385.037,37829,25,25.012,5.006,4.996,5.0,0.0,49.0,1.0,49.0,2
1784714385.139,37830,25,24.502,5.006,4.894,5.0,0.0,49.0,1.0,49.0,2
1784714385.14,37830,26,24.497,5.005,4.894,5.0,0.0,49.0,1.0,49.0,2
1784714385.241,37831,26,23.993,5.005,4.793,5.0,0.0,49.0,1.0,49.0,2
1784714385.343,37832,26,23.482,5.005,4.691,5.0,0.0,49.0,1.0,49.0,2
1784714385.344,37832,27,23.477,5.004,4.691,5.0,0.0,49.0,1.0,49.0,2
1784714385.445,37833,27,22.973,5.004,4.59,5.0,0.0,49.0,1.0,49.0,2
1784714385.547,37834,27,22.462,5.004,4.488,5.0,0.0,49.0,1.0,49.0,2
1784714385.549,37834,28,22.452,5.004,4.487,5.0,0.0,49.0,1.0,49.0,2
1784714385.649,37835,28,21.953,5.004,4.388,5.0,0.0,49.0,1.0,49.0,2
1784714385.751,37836,28,21.443,5.004,4.286,5.0,0.0,49.0,1.0,49.0,2
1784714385.752,37836,29,21.438,5.003,4.285,5.0,0.0,49.0,1.0,49.0,2
