ts_ms,timestep_time,vehicle_id,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,ttc_valid,risk_score,zone_base_risk,dx,dy,dvx,dvy,dcpa_m,phys_min_dist_3s,phys_t_cpa,phys_score_3s,onnx_risk_level,onnx_confidence
37000,37.0,campus_7,3751.25,1388.38,3802.32,1654.41,1.14,5.06,270.88762577866123,1.8435422238242722,30.0,1.0,6.0,0.0,51.070000000000164,266.03,-5.309999999999945,-0.8099999999999454,255.2865869280188,265.931907826045,3.0,31.0,0,0.9780411
38000,38.0,campus_7,3751.49,1389.4,3798.06,1654.67,1.05,4.27,269.32682339492294,1.5608023837382916,30.0,1.0,3.0,0.0,46.570000000000164,265.27,-4.5,-0.7599999999999909,253.81051821442583,265.0610590033927,3.0,28.0,0,0.98177516
39000,39.0,campus_7,3751.74,1390.49,3793.83,1654.93,1.12,4.23,267.7687093369949,1.5581140579280373,30.0,1.0,3.0,0.0,42.090000000000146,264.44000000000005,-4.480000000000018,-0.8299999999999272,252.3477988869757,263.51209649653686,3.0,28.0,0,0.9819724
40000,40.0,campus_7,3752.0,1391.61,3789.85,1655.17,1.15,3.99,266.26395944626097,1.5047498907339332,30.0,1.0,3.0,0.0,37.84999999999991,263.5600000000002,-4.2400000000002365,-0.8799999999998818,250.36877131162055,262.127379912897,3.0,28.0,0,0.982646
41000,41.0,campus_7,3752.72,1391.92,3785.07,1655.47,1.27,4.79,265.52801170498003,0.7359477412809383,30.0,1.0,3.0,0.0,32.350000000000364,263.54999999999995,-5.499999999999545,-0.010000000000218279,263.4907462966457,263.9962365262045,3.0,28.0,0,0.9805142
42000,42.0,campus_7,3752.35,1393.1,3780.66,1655.73,1.12,4.42,264.15142059053943,1.3765911144406004,30.0,1.0,3.0,0.0,28.309999999999945,262.6300000000001,-4.040000000000418,-0.9199999999998454,249.78830743682823,260.37383317069373,3.0,28.0,0,0.981048
43000,43.0,campus_7,3751.71,1394.0,3775.58,1656.04,1.1,5.09,263.1249484560519,1.0264721344875056,30.0,1.0,6.0,0.0,23.86999999999989,262.03999999999996,-4.440000000000055,-0.5900000000001455,256.6123868421578,260.48373346525835,3.0,31.0,0,0.97665876
44000,44.0,campus_7,3750.56,1393.93,3771.72,1656.28,1.29,3.87,263.20195307026114,-0.07700461420921556,30.0,0.0,0.0,0.0,21.159999999999854,262.3499999999999,-2.7100000000000364,0.30999999999994543,263.20195307026114,263.20195307026114,0.0,0.0,0,0.98581
45000,45.0,campus_7,3548.71,1515.45,3767.56,1656.76,1.03,4.18,260.5068878168098,3.2450336927784065,30.0,1.0,3.0,0.0,218.8499999999999,141.30999999999995,-4.710000000000036,1.3599999999999,196.47572790025455,251.09466441961646,3.0,28.0,0,0.98496014
46000,46.0,campus_7,3548.17,1515.11,3763.46,1657.32,0.0,4.15,258.01834857234473,2.4885392444650734,30.0,1.0,3.0,0.0,215.28999999999996,142.21000000000004,-3.5599999999999454,0.900000000000091,190.63948384084284,250.72726257828472,3.0,28.0,0,0.9843009
47000,47.0,campus_7,3548.77,1514.15,3758.78,1657.96,1.14,4.72,254.52999076729657,3.4883578050481674,30.0,1.0,3.0,0.0,210.01000000000022,143.80999999999995,-5.279999999999745,1.599999999999909,198.53413268493313,244.513641746223,3.0,28.0,0,0.9836512
48000,48.0,campus_7,3549.36,1513.19,3754.92,1657.99,1.13,3.96,251.43976137436968,3.0902293929268865,30.0,1.0,3.0,0.0,205.55999999999995,144.79999999999995,-4.450000000000273,0.9900000000000091,185.98437564368183,242.44722518519293,3.0,28.0,0,0.9856462
49000,49.0,campus_7,3550.06,1512.11,3751.3,1656.39,1.2,3.96,247.617156109992,3.822605264377671,30.0,1.0,3.0,0.0,201.24000000000024,144.2800000000002,-4.319999999999709,-0.5199999999997544,119.19625328619706,236.2590882908014,3.0,28.0,0,0.9856064
50000,50.0,campus_7,3551.16,1511.38,3746.6,1654.31,1.22,5.14,242.127607884768,5.489548225224013,30.0,1.0,11.0,0.0,195.44000000000005,142.92999999999984,-5.800000000000182,-1.3500000000003638,94.9028068943727,225.80056687262652,3.0,36.0,0,0.9782431
51000,51.0,campus_7,3551.98,1511.32,3743.78,1650.69,0.51,4.68,237.08909063894126,5.038517245826739,30.0,1.0,8.0,0.0,191.80000000000018,139.37000000000012,-3.6399999999998727,-3.559999999999718,34.46956359992721,221.98804134457436,3.0,33.0,0,0.9644366
52000,52.0,campus_7,3553.02,1510.53,3742.85,1645.97,1.23,4.84,233.19395896978116,3.8951316691600937,30.0,1.0,3.0,0.0,189.82999999999993,135.44000000000005,-1.9700000000002547,-3.9300000000000637,109.00884892921378,221.62104796250662,3.0,28.0,0,0.9753234
53000,53.0,campus_7,3553.6,1509.67,3742.46,1641.79,1.05,4.2,230.48599523615314,2.70796373362802,30.0,1.0,3.0,0.0,188.86000000000013,132.1199999999999,-0.9699999999997999,-3.3200000000001637,144.22885007089081,222.4870065869019,3.0,28.0,0,0.9794707
