timestep_time;person_angle;person_edge;person_id;person_pos;person_slope;person_speed;person_type;person_x;person_y
69.0;145.9;612099146#6;2.0;21.82;0.0;1.2;DEFAULT_PEDTYPE;3563.44;1495.14
70.0;0.1;278148191#2;3.0;37.34;0.0;1.56;DEFAULT_PEDTYPE;3555.78;1401.55
70.0;145.9;612099146#6;2.0;20.77;0.0;1.05;DEFAULT_PEDTYPE;3564.02;1494.28
71.0;340.24;278148191#2;3.0;35.84;0.0;1.5;DEFAULT_PEDTYPE;3555.77;1402.6
71.0;145.9;612099146#6;2.0;19.56;0.0;1.2;DEFAULT_PEDTYPE;3564.7;1493.28
72.0;340.24;278148191#2;3.0;34.45;0.0;1.39;DEFAULT_PEDTYPE;3555.3;1403.91
72.0;145.9;612099146#6;2.0;18.52;0.0;1.04;DEFAULT_PEDTYPE;3565.28;1492.41
73.0;340.24;278148191#2;3.0;32.86;0.0;1.59;DEFAULT_PEDTYPE;3554.76;1405.41
73.0;145.9;612099146#6;2.0;17.36;0.0;1.16;DEFAULT_PEDTYPE;3565.93;1491.46
74.0;340.24;278148191#2;3.0;31.22;0.0;1.64;DEFAULT_PEDTYPE;3554.2;1406.95
74.0;145.9;612099146#6;2.0;16.19;0.0;1.17;DEFAULT_PEDTYPE;3566.59;1490.49
75.0;317.94;278148191#2;3.0;29.72;0.0;1.49;DEFAULT_PEDTYPE;3553.47;1407.64
75.0;145.9;612099146#6;2.0;15.09;0.0;1.1;DEFAULT_PEDTYPE;3567.21;1489.57
76.0;317.94;278148191#2;3.0;28.07;0.0;1.65;DEFAULT_PEDTYPE;3552.36;1408.87
76.0;145.9;612099146#6;2.0;13.92;0.0;1.17;DEFAULT_PEDTYPE;3567.86;1488.61
77.0;317.94;278148191#2;3.0;26.61;0.0;1.46;DEFAULT_PEDTYPE;3551.38;1409.95
77.0;145.9;612099146#6;2.0;12.8;0.0;1.12;DEFAULT_PEDTYPE;3568.49;1487.68
78.0;317.94;278148191#2;3.0;25.1;0.0;1.51;DEFAULT_PEDTYPE;3550.37;1411.07
78.0;145.9;612099146#6;2.0;11.56;0.0;1.24;DEFAULT_PEDTYPE;3569.19;1486.65
