1786177610.594 RX {"type":"cane","node_id":4125577512,"seq":3474,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":367575,"rx_ms":70318,"recv_count":122,"lost_count":553,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177610.903 RX {"type":"cane","node_id":4125577512,"seq":3477,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":367884,"rx_ms":70627,"recv_count":123,"lost_count":555,"rssi":-90,"src_mac":"30:76:F5:E7:51:28"}
1786177611.213 RX {"type":"cane","node_id":4125577512,"seq":3480,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":368194,"rx_ms":70937,"recv_count":124,"lost_count":557,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
1786177611.421 RX {"type":"cane","node_id":4125577512,"seq":3482,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":368400,"rx_ms":71145,"recv_count":125,"lost_count":558,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177613.067 RX {"type":"cane","node_id":4125577512,"seq":3498,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":370049,"rx_ms":72791,"recv_count":126,"lost_count":573,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177613.173 RX {"type":"cane","node_id":4125577512,"seq":3499,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":370153,"rx_ms":72896,"recv_count":127,"lost_count":573,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177613.277 RX {"type":"cane","node_id":4125577512,"seq":3500,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":370256,"rx_ms":73001,"recv_count":128,"lost_count":573,"rssi":-55,"src_mac":"30:76:F5:E7:51:28"}
1786177613.789 RX {"type":"cane","node_id":4125577512,"seq":3505,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":370768,"rx_ms":73513,"recv_count":129,"lost_count":577,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177613.993 RX {"type":"cane","node_id":4125577512,"seq":3507,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":370974,"rx_ms":73717,"recv_count":130,"lost_count":578,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177614.199 RX {"type":"cane","node_id":4125577512,"seq":3509,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":371180,"rx_ms":73923,"recv_count":131,"lost_count":579,"rssi":-84,"src_mac":"30:76:F5:E7:51:28"}
1786177615.642 RX {"type":"cane","node_id":4125577512,"seq":3523,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":372622,"rx_ms":75365,"recv_count":132,"lost_count":592,"rssi":-56,"src_mac":"30:76:F5:E7:51:28"}
1786177616.264 RX {"type":"cane","node_id":4125577512,"seq":3529,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":373240,"rx_ms":75988,"recv_count":133,"lost_count":597,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177616.360 RX {"type":"cane","node_id":4125577512,"seq":3530,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":373342,"rx_ms":76085,"recv_count":134,"lost_count":597,"rssi":-60,"src_mac":"30:76:F5:E7:51:28"}
1786177618.004 RX {"type":"cane","node_id":4125577512,"seq":3546,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":374987,"rx_ms":77730,"recv_count":135,"lost_count":612,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177618.212 RX {"type":"cane","node_id":4125577512,"seq":3548,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":375195,"rx_ms":77938,"recv_count":136,"lost_count":613,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
1786177618.832 RX {"type":"cane","node_id":4125577512,"seq":3554,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":375813,"rx_ms":78557,"recv_count":137,"lost_count":618,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177618.934 RX {"type":"cane","node_id":4125577512,"seq":3555,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":375916,"rx_ms":78659,"recv_count":138,"lost_count":618,"rssi":-60,"src_mac":"30:76:F5:E7:51:28"}
1786177619.036 RX {"type":"cane","node_id":4125577512,"seq":3556,"gps_valid":0,"heading_valid":0,"lat":0.000000,"lng":0.000000,"speed_mps":0.000,"heading_deg":0.00,"node_risk":0,"tx_ms":376019,"rx_ms":78762,"recv_count":139,"lost_count":618,"rssi":-73,"src_mac":"30:76:F5:E7:51:28"}
1786177620.583 RX {"type":"cane","node_id":4125577512,"seq":3571,"gps_valid":1,"heading_valid":0,"lat":37.496094,"lng":126.955719,"speed_mps":0.056,"heading_deg":0.00,"node_risk":0,"tx_ms":377560,"rx_ms":80307,"recv_count":140,"lost_count":632,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177620.681 RX {"type":"cane","node_id":4125577512,"seq":3572,"gps_valid":1,"heading_valid":0,"lat":37.496090,"lng":126.955719,"speed_mps":0.056,"heading_deg":0.00,"node_risk":0,"tx_ms":377663,"rx_ms":80406,"recv_count":141,"lost_count":632,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177621.201 RX {"type":"cane","node_id":4125577512,"seq":3577,"gps_valid":1,"heading_valid":0,"lat":37.496078,"lng":126.955727,"speed_mps":0.202,"heading_deg":0.00,"node_risk":0,"tx_ms":378178,"rx_ms":80926,"recv_count":142,"lost_count":636,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177621.299 RX {"type":"cane","node_id":4125577512,"seq":3578,"gps_valid":1,"heading_valid":0,"lat":37.496078,"lng":126.955727,"speed_mps":0.202,"heading_deg":0.00,"node_risk":0,"tx_ms":378281,"rx_ms":81024,"recv_count":143,"lost_count":636,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
1786177621.407 RX {"type":"cane","node_id":4125577512,"seq":3579,"gps_valid":1,"heading_valid":0,"lat":37.496075,"lng":126.955727,"speed_mps":0.237,"heading_deg":0.00,"node_risk":0,"tx_ms":378384,"rx_ms":81130,"recv_count":144,"lost_count":636,"rssi":-65,"src_mac":"30:76:F5:E7:51:28"}
1786177623.055 RX {"type":"cane","node_id":4125577512,"seq":3595,"gps_valid":1,"heading_valid":0,"lat":37.496048,"lng":126.955742,"speed_mps":0.556,"heading_deg":0.00,"node_risk":0,"tx_ms":380033,"rx_ms":82779,"recv_count":145,"lost_count":651,"rssi":-57,"src_mac":"30:76:F5:E7:51:28"}
1786177623.261 RX {"type":"cane","node_id":4125577512,"seq":3597,"gps_valid":1,"heading_valid":0,"lat":37.496040,"lng":126.955742,"speed_mps":0.678,"heading_deg":0.00,"node_risk":0,"tx_ms":380241,"rx_ms":82984,"recv_count":146,"lost_count":652,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
1786177623.881 RX {"type":"cane","node_id":4125577512,"seq":3603,"gps_valid":1,"heading_valid":0,"lat":37.496029,"lng":126.955750,"speed_mps":0.768,"heading_deg":0.00,"node_risk":0,"tx_ms":380857,"rx_ms":83605,"recv_count":147,"lost_count":657,"rssi":-58,"src_mac":"30:76:F5:E7:51:28"}
1786177623.979 RX {"type":"cane","node_id":4125577512,"seq":3604,"gps_valid":1,"heading_valid":0,"lat":37.496025,"lng":126.955750,"speed_mps":0.768,"heading_deg":0.00,"node_risk":0,"tx_ms":380959,"rx_ms":83702,"recv_count":148,"lost_count":657,"rssi":-65,"src_mac":"30:76:F5:E7:51:28"}
1786177625.630 RX {"type":"cane","node_id":4125577512,"seq":3620,"gps_valid":1,"heading_valid":0,"lat":37.496017,"lng":126.955757,"speed_mps":0.768,"heading_deg":0.00,"node_risk":0,"tx_ms":382606,"rx_ms":85352,"recv_count":149,"lost_count":672,"rssi":-59,"src_mac":"30:76:F5:E7:51:28"}
