pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786533833.524,3352,0,0,0,0,1,heartbeat,0,37.1,4.4,8.42,5.8,0,table,0.0,table,1,37.49641,126.957626,0.027,0.0,1,0.036,0.0
1786533834.573,3362,0,0,0,0,1,heartbeat,0,36.2,1.79,20.18,4.2,0,table,0.0048,table,1,37.49641,126.957626,0.039,0.0,1,0.078,0.0
1786533835.623,3372,0,0,0,0,1,heartbeat,0,36.62,0.43,86.1,4.2,0,table,0.0035,table,1,37.49641,126.957626,0.016,0.0,1,0.04,0.0
1786533836.253,3378,1,1,0,0,1,change,0,36.31,0.46,78.54,21.0,1,table,0.0079,table,1,37.49641,126.957626,0.013,0.0,1,0.032,0.0
1786533837.304,3388,1,1,1,0,1,heartbeat,0,35.91,0.42,84.71,11.23,0,table,0.0011,table,1,37.496414,126.957626,0.015,0.0,1,0.024,0.0
1786533838.349,3398,1,1,1,0,1,heartbeat,0,35.76,0.24,149.77,20.45,1,table,0.0006,table,1,37.496414,126.957626,0.017,0.0,1,0.024,0.0
1786533839.395,3409,1,1,1,0,1,heartbeat,0,35.84,0.06,585.69,13.22,0,table,0.0022,table,1,37.496414,126.957626,0.021,0.0,1,0.024,0.0
1786533842.338,3437,0,0,1,0,1,change,0,23.11,7.94,2.91,10.2,0,table,0.0022,table,1,37.496414,126.957634,0.028,0.0,1,0.013,0.0
1786533843.357,3447,0,0,0,0,1,heartbeat,0,20.76,4.05,5.13,7.2,0,table,0.0,table,1,37.496414,126.957634,0.013,0.0,1,0.013,0.0
1786533844.408,3457,0,0,0,0,1,heartbeat,0,21.43,1.34,15.97,4.2,0,table,0.0004,table,1,37.496418,126.957634,0.016,0.0,1,0.013,0.0
1786533846.206,3474,0,0,0,0,1,heartbeat,0,16.47,5.67,2.91,11.6,0,table,0.0167,table,1,37.496418,126.957634,0.013,0.0,1,0.062,0.0
1786533846.31,3475,3,3,0,0,1,change,0,14.37,6.89,2.09,11.6,3,safety_floor,0.0011,table,1,37.496418,126.957634,0.015,0.0,1,0.062,0.0
1786533847.33,3485,3,3,3,0,1,heartbeat,0,10.26,3.56,2.89,10.6,0,table,0.0004,table,1,37.496422,126.957634,0.025,0.0,1,0.054,0.0
1786533848.379,3495,3,3,3,0,1,heartbeat,0,10.1,1.67,6.06,8.6,0,table,0.0406,table,1,37.496422,126.957634,0.038,0.0,1,0.035,0.0
1786533849.313,3504,0,0,3,0,1,change,0,10.37,0.71,14.62,16.47,0,table,0.004,table,1,37.496422,126.957634,0.022,0.0,1,0.107,0.0
1786533849.471,3505,1,1,0,0,1,change,0,10.5,0.54,19.45,21.94,1,table,0.0008,table,1,37.496422,126.957634,0.022,0.0,1,0.107,0.0
1786533850.521,3515,1,1,1,0,1,heartbeat,0,10.75,0.12,86.15,5.6,0,table,0.0018,table,1,37.496422,126.957634,0.031,0.0,1,0.061,0.0
1786533851.577,3525,1,1,1,0,1,heartbeat,0,10.64,0.12,85.32,5.6,0,table,0.0046,table,1,37.496426,126.957634,0.036,0.0,1,0.061,0.0
1786533852.103,3530,0,0,1,0,1,change,0,10.46,0.19,55.14,5.6,0,table,0.0024,table,1,37.496426,126.957634,0.033,0.0,1,0.061,0.0
1786533853.151,3540,0,0,0,0,1,heartbeat,0,10.34,0.13,76.76,5.6,0,table,0.003,table,1,37.496426,126.957634,0.012,0.0,1,0.061,0.0
1786533853.26,3541,1,1,0,0,1,change,0,9.62,0.69,13.97,33.0,1,table,0.004,table,1,37.496426,126.957634,0.012,0.0,1,0.038,0.0
1786533853.364,3542,2,2,0,1,1,change,0,8.96,1.14,7.86,48.0,2,table,0.0038,table,1,37.496426,126.957634,0.015,0.0,1,0.038,0.0
1786533853.99,3548,3,3,2,0,1,change,0,6.3,2.28,2.76,56.85,3,safety_floor,0.0013,table,1,37.496426,126.957634,0.021,0.0,1,0.038,0.0
1786533855.039,3558,3,3,3,0,1,heartbeat,0,4.6,1.67,2.75,58.0,3,safety_floor,0.0021,table,1,37.496426,126.957634,0.039,0.0,1,0.035,0.0
1786533856.09,3568,3,3,3,0,1,heartbeat,0,5.02,0.5,9.98,41.0,1,table,0.0001,table,1,37.496426,126.957642,0.02,0.0,1,0.051,0.0
1786533857.133,3578,3,3,3,0,1,heartbeat,0,5.52,-0.05,9999.0,30.0,1,table,0.0001,table,1,37.496426,126.957642,0.048,0.0,1,0.051,0.0
1786533857.157,3579,1,1,3,0,1,change,0,5.51,-0.04,9999.0,30.0,1,table,0.0002,table,1,37.496426,126.957642,0.048,0.0,1,0.051,0.0
