wall_time,age_sec,kind,risk,node_id,raw_or_json
1782982017.390,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11399, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155503, ""rx_ms"": 2604125, ""recv_count"": 25114, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.477,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25238, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555458, ""rx_ms"": 2604220, ""recv_count"": 25239, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.497,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11400, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155603, ""rx_ms"": 2604232, ""recv_count"": 25115, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.574,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25239, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555559, ""rx_ms"": 2604316, ""recv_count"": 25240, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.594,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11401, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155706, ""rx_ms"": 2604329, ""recv_count"": 25116, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.673,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25240, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555660, ""rx_ms"": 2604416, ""recv_count"": 25241, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.693,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11402, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155808, ""rx_ms"": 2604432, ""recv_count"": 25117, ""lost_count"": 117358, ""rssi"": -34, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.777,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25241, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555761, ""rx_ms"": 2604519, ""recv_count"": 25242, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982017.797,0.000,cane,,4125577512,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 11403, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 3, ""tx_ms"": 1155908, ""rx_ms"": 2604534, ""recv_count"": 25118, ""lost_count"": 117358, ""rssi"": -35, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982017.879,0.000,vehicle,,2882630492,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 25242, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000031, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 2555862, ""rx_ms"": 2604622, ""recv_count"": 25243, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
