"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782797717.582","801.981","vehicle","2882630492","","37.0","127.000046","0.42","270.0","4166","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4166,""gps_valid"":1,""lat"":37.000000,""lng"":127.000046,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021730,""rx_ms"":7159291,""recv_count"":70283,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.602","802.001","cane","4125577512","","37.0","127.0","0.0","0.0","20537","{""type"":""cane"",""node_id"":4125577512,""seq"":20537,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2080740,""rx_ms"":7159304,""recv_count"":39855,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.684","802.083","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4167","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4167,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7021832,""rx_ms"":7159393,""recv_count"":70284,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.704","802.103","cane","4125577512","","37.0","127.0","0.0","0.0","20538","{""type"":""cane"",""node_id"":4125577512,""seq"":20538,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":3,""tx_ms"":2080844,""rx_ms"":7159406,""recv_count"":39856,""lost_count"":636043,""rssi"":-42,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.797","802.196","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4168","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4168,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":3,""tx_ms"":7021934,""rx_ms"":7159507,""recv_count"":70285,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.817","802.216","cane","4125577512","","37.0","127.0","0.0","0.0","20539","{""type"":""cane"",""node_id"":4125577512,""seq"":20539,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":3,""tx_ms"":2080945,""rx_ms"":7159519,""recv_count"":39857,""lost_count"":636043,""rssi"":-45,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.888","802.287","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4169","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4169,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022036,""rx_ms"":7159598,""recv_count"":70286,""lost_count"":64956,""rssi"":-33,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797717.909","802.308","cane","4125577512","","37.0","127.0","0.0","0.0","20540","{""type"":""cane"",""node_id"":4125577512,""seq"":20540,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081048,""rx_ms"":7159612,""recv_count"":39858,""lost_count"":636043,""rssi"":-44,""src_mac"":""30:76:F5:E7:51:28""}"
"1782797717.988","802.387","vehicle","2882630492","","37.0","127.000038","0.42","270.0","4170","{""type"":""vehicle"",""node_id"":2882630492,""seq"":4170,""gps_valid"":1,""lat"":37.000000,""lng"":127.000038,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":7022137,""rx_ms"":7159698,""recv_count"":70287,""lost_count"":64956,""rssi"":-34,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782797718.009","802.408","cane","4125577512","","37.0","127.0","0.0","0.0","20541","{""type"":""cane"",""node_id"":4125577512,""seq"":20541,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":2081149,""rx_ms"":7159716,""recv_count"":39859,""lost_count"":636043,""rssi"":-43,""src_mac"":""30:76:F5:E7:51:28""}"
