rx_wall,node_id,distance_m,closing_mps,ttc_s,risk_level,reason,sent
1782723639.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.622,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.722,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723639.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.225,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723640.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.022,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.821,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723641.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.123,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.222,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.822,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723642.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.122,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.823,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723643.921,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.021,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.121,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.221,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.321,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.421,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.521,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.621,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
1782723644.721,2882630492,2.00,8.00,0.25,3,sim ttc<1.5s,
