pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1785924612.351,4707,0,0,0,0,1,heartbeat,0,36.31,0.53,68.59,4.2,1,37.496765,126.95784,0.109,186.26,1,0.397,77.34
1785924613.415,4717,0,0,0,0,1,heartbeat,0,36.05,0.33,109.64,4.2,1,37.496761,126.957832,0.103,0.0,1,0.346,77.34
1785924614.455,4727,0,0,0,0,1,heartbeat,0,36.04,0.15,247.61,4.2,1,37.496761,126.957825,0.067,0.0,1,0.304,77.34
1785924615.499,4737,0,0,0,0,1,heartbeat,0,35.89,0.15,239.95,4.2,1,37.496758,126.957817,0.097,194.91,1,0.286,77.34
1785924616.541,4748,0,0,0,0,1,heartbeat,0,36.14,-0.13,9999.0,18.0,1,37.496754,126.957825,0.154,194.56,1,0.354,77.34
1785924617.614,4757,0,0,0,0,1,heartbeat,0,33.48,1.7,19.71,4.2,1,37.49675,126.957832,0.095,199.02,1,0.306,77.34
1785924618.629,4768,0,0,0,0,1,heartbeat,0,30.7,2.22,13.85,4.2,1,37.496746,126.957832,0.049,201.57,1,0.172,77.34
1785924619.706,4777,0,0,0,0,1,heartbeat,0,30.26,1.11,27.15,4.2,1,37.496742,126.957832,0.033,203.52,1,0.21,77.34
1785924620.718,4788,0,0,0,0,1,heartbeat,0,30.82,0.16,198.67,4.2,1,37.496735,126.957832,0.046,204.89,1,0.287,77.34
1785924621.766,4798,0,0,0,0,1,heartbeat,0,31.65,-0.39,9999.0,18.0,1,37.496731,126.957832,0.052,206.35,1,0.287,77.34
1785924622.768,4807,0,0,0,0,1,heartbeat,0,27.81,2.28,12.17,4.2,1,37.496727,126.957825,0.031,206.87,1,0.306,77.34
1785924623.816,4817,0,0,0,0,1,heartbeat,0,24.94,2.3,10.86,5.8,1,37.496723,126.957825,0.031,206.97,1,0.19,77.34
1785924624.896,4828,0,0,0,0,1,heartbeat,0,24.63,1.08,22.74,4.2,1,37.496719,126.957825,0.025,207.58,1,0.171,77.34
1785924625.91,4836,0,0,0,0,1,heartbeat,0,25.22,0.17,148.9,4.2,1,37.496716,126.957825,0.028,207.81,1,0.241,77.34
1785924626.982,4848,0,0,0,0,1,heartbeat,0,25.52,-0.11,9999.0,18.0,1,37.496712,126.957825,0.039,210.01,1,0.241,77.34
1785924628.026,4858,0,0,0,0,1,heartbeat,0,19.08,3.24,5.88,8.6,1,37.496712,126.957825,0.058,210.85,1,0.4,77.34
1785924629.06,4867,0,0,0,0,1,heartbeat,0,18.05,1.68,10.75,7.2,1,37.496708,126.957817,0.042,212.66,1,0.52,99.53
1785924630.113,4878,0,0,0,0,1,heartbeat,0,17.64,0.82,21.54,5.6,1,37.496704,126.957817,0.051,214.02,1,0.494,99.53
1785924631.161,4888,0,0,0,0,1,heartbeat,0,18.03,0.17,103.7,5.6,1,37.4967,126.957817,0.03,213.52,1,0.432,99.53
1785924631.907,4895,1,1,0,0,1,change,0,18.21,-0.01,9999.0,25.0,1,37.4967,126.957817,0.032,212.97,1,0.318,99.53
1785924632.923,4905,1,1,1,0,1,heartbeat,0,18.07,0.08,227.07,5.6,1,37.4967,126.957817,0.023,212.5,1,0.226,99.53
1785924633.999,4914,1,1,1,0,1,heartbeat,0,17.7,0.26,68.0,5.6,1,37.496696,126.957817,0.018,209.97,1,0.183,99.53
1785924634.317,4918,0,0,1,0,1,change,0,17.61,0.26,66.9,5.6,1,37.496696,126.957817,0.02,207.93,1,0.183,99.53
1785924635.321,4928,0,0,0,0,1,heartbeat,0,15.84,1.33,11.95,7.2,1,37.496693,126.957817,0.044,202.54,1,0.184,99.53
1785924636.367,4938,0,0,0,0,1,heartbeat,0,13.39,1.52,8.79,7.2,1,37.496689,126.957817,0.045,200.55,1,0.226,99.53
1785924637.409,4948,0,0,0,0,1,heartbeat,0,13.75,0.5,27.71,5.6,1,37.496689,126.957817,0.055,200.62,1,0.236,99.53
1785924638.453,4958,0,0,0,0,1,heartbeat,0,14.02,0.04,338.79,5.6,1,37.496685,126.957817,0.086,200.91,1,0.28,99.53
1785924639.127,4964,1,1,0,0,1,change,0,14.11,-0.06,9999.0,25.0,1,37.496685,126.957817,0.086,201.13,1,0.28,99.53
1785924640.173,4974,1,1,1,0,1,heartbeat,0,14.04,0.02,623.86,5.6,1,37.496685,126.957809,0.046,201.29,1,0.261,99.53
1785924641.221,4984,1,1,1,0,1,heartbeat,0,13.74,0.17,79.72,5.6,1,37.496685,126.957809,0.047,200.86,1,0.316,99.53
1785924642.209,4994,0,0,1,0,1,change,0,13.3,0.31,43.0,5.6,1,37.496689,126.957802,0.06,200.28,1,0.305,99.53
1785924643.255,5004,0,0,0,0,1,heartbeat,0,13.29,0.1,135.68,5.6,1,37.496685,126.957802,0.052,200.9,1,0.305,99.53
1785924643.565,5007,1,1,0,0,1,change,0,13.41,-0.01,9999.0,25.0,1,37.496685,126.957802,0.052,201.01,1,0.305,99.53
1785924646.196,5032,1,1,1,0,1,heartbeat,0,14.54,-0.29,9999.0,25.0,1,37.496681,126.957787,0.03,201.57,1,0.177,0.0
1785924647.216,5042,1,1,1,0,1,heartbeat,0,14.4,-0.1,9999.0,25.0,1,37.496681,126.957779,0.044,199.95,1,0.161,0.0
1785924648.261,5052,1,1,1,0,1,heartbeat,0,14.07,0.11,133.73,5.6,1,37.496685,126.957771,0.056,192.27,1,0.133,0.0
1785924649.351,5061,1,1,1,0,1,heartbeat,0,14.19,-0.04,9999.0,25.0,1,37.496685,126.957771,0.087,183.18,1,0.133,0.0
1785924650.599,5074,1,1,1,0,1,heartbeat,0,13.34,0.45,29.93,5.6,1,37.496693,126.957771,0.081,181.92,1,0.237,0.0
1785924651.441,5082,0,0,1,0,1,change,0,12.57,0.38,33.46,5.6,1,37.496696,126.957771,0.07,184.98,1,0.237,0.0
1785924652.173,5089,1,1,0,0,1,change,0,13.79,-1.07,9999.0,25.0,1,37.496696,126.957771,0.054,188.24,1,0.394,0.0
1785924653.225,5099,1,1,1,0,1,heartbeat,0,21.05,-4.53,9999.0,18.0,1,37.496693,126.957771,0.05,188.16,1,0.187,0.0
1785924654.269,5109,1,1,1,0,1,heartbeat,0,21.6,-2.09,9999.0,18.0,1,37.496685,126.957771,0.057,188.72,1,0.278,0.0
1785924654.999,5116,0,0,1,0,1,change,0,20.57,-0.43,9999.0,18.0,1,37.496685,126.957771,0.059,186.89,1,0.304,0.0
1785924656.047,5126,0,0,0,0,1,heartbeat,0,19.4,0.41,47.35,5.6,1,37.496681,126.957771,0.043,187.73,1,0.304,0.0
1785924656.887,5134,1,1,0,0,1,change,0,19.76,-0.02,9999.0,25.0,1,37.496677,126.957764,0.03,189.25,1,0.304,0.0
1785924662.157,5185,2,2,0,0,1,change,0,3.19,3.88,0.82,67.16,1,37.496685,126.957764,0.251,181.92,1,0.548,274.56
1785924663.175,5195,2,2,2,1,1,heartbeat,0,3.56,-1.24,9999.0,30.0,1,37.496685,126.957771,0.137,185.87,1,0.595,274.72
1785924664.21,5205,2,2,2,1,1,heartbeat,0,3.75,-0.87,9999.0,30.0,1,37.496689,126.957771,0.101,178.22,1,0.528,274.83
1785924664.731,5210,1,1,2,0,1,change,0,3.07,-0.1,9999.0,30.0,1,37.496689,126.957771,0.1,170.18,1,0.434,274.83
1785924665.283,5215,2,2,1,0,1,change,0,2.5,0.35,7.15,48.0,1,37.496693,126.957779,0.063,170.18,1,0.298,274.83
1785924666.295,5225,2,2,2,0,1,heartbeat,0,1.74,0.44,3.97,53.0,1,37.496693,126.957779,0.042,169.15,1,0.241,274.83
1785924667.333,5235,2,2,2,0,1,heartbeat,0,1.71,0.13,13.27,33.0,1,37.496696,126.957787,0.035,174.3,1,0.192,274.83
1785924668.391,5245,2,2,2,0,1,heartbeat,0,2.11,-0.15,9999.0,30.0,1,37.4967,126.957787,0.027,177.12,1,0.137,274.83
1785924669.371,5253,1,1,2,0,1,change,0,2.44,-0.32,9999.0,30.0,1,37.496704,126.957794,0.032,176.71,1,0.111,274.83
1785924670.425,5264,1,1,1,0,1,heartbeat,0,2.57,-0.3,9999.0,30.0,1,37.496704,126.957802,0.143,180.29,1,0.117,274.83
1785924671.465,5274,1,1,1,0,1,heartbeat,0,2.33,0.01,322.06,33.0,1,37.496708,126.957802,0.102,180.29,1,0.12,274.83
1785924672.525,5284,1,1,1,0,1,heartbeat,0,2.1,0.1,21.13,33.0,1,37.496708,126.957802,0.064,180.34,1,0.135,274.83
1785924673.568,5294,1,1,1,0,1,heartbeat,0,2.16,0.03,78.83,33.0,1,37.496708,126.957809,0.03,180.34,1,0.164,274.83
1785924674.621,5305,1,1,1,0,1,heartbeat,0,2.12,0.02,120.34,33.0,1,37.496708,126.957809,0.025,182.5,1,0.164,274.83
1785924675.66,5315,1,1,1,0,1,heartbeat,0,2.52,-0.25,9999.0,30.0,1,37.496708,126.957817,0.034,181.44,1,0.164,274.83
1785924804.219,6548,1,1,0,0,1,heartbeat,0,66.14,0.62,107.31,1.6,1,37.496754,126.957771,0.131,190.49,1,0.288,0.0
1785924805.241,6558,1,1,1,0,1,heartbeat,0,65.36,0.69,94.2,1.6,1,37.496754,126.957764,0.118,190.17,1,0.347,0.0
1785924806.284,6568,0,0,1,0,1,change,0,64.67,0.69,93.3,1.6,1,37.496758,126.957756,0.091,192.21,1,0.325,0.0
1785924807.342,6578,0,0,0,0,1,heartbeat,0,63.87,0.75,85.62,1.6,1,37.496761,126.957748,0.119,191.55,1,0.172,0.0
1785924808.376,6588,0,0,0,0,1,heartbeat,0,63.05,0.77,81.41,1.6,1,37.496765,126.957733,0.231,192.1,1,0.124,0.0
1785924809.453,6597,0,0,0,0,1,heartbeat,0,62.37,0.7,89.22,1.6,1,37.496773,126.957726,0.24,192.66,1,0.13,0.0
1785924810.461,6608,0,0,0,0,1,heartbeat,0,61.62,0.73,84.08,1.6,1,37.496773,126.957718,0.33,194.23,1,0.11,0.0
1785924811.505,6618,0,0,0,0,1,heartbeat,0,61.22,0.51,119.01,1.6,1,37.496777,126.957718,0.291,0.0,1,0.11,0.0
1785924812.541,6628,0,0,0,0,1,heartbeat,0,61.72,-0.07,9999.0,5.0,1,37.496769,126.95771,0.37,196.84,1,0.209,0.0
1785924813.587,6638,0,0,0,0,1,heartbeat,0,62.43,-0.41,9999.0,5.0,1,37.496765,126.95771,0.224,177.98,1,0.207,0.0
1785924814.593,6647,0,0,0,0,1,heartbeat,0,62.53,-0.19,9999.0,5.0,1,37.496769,126.95771,0.139,187.75,1,0.164,0.0
1785924815.639,6657,0,0,0,0,1,heartbeat,0,62.91,-0.32,9999.0,5.0,1,37.496773,126.957718,0.106,190.62,1,0.194,0.0
1785924816.713,6668,0,0,0,0,1,heartbeat,0,62.99,-0.14,9999.0,5.0,1,37.496777,126.957718,0.11,176.94,1,0.186,0.0
1785924817.758,6678,0,0,0,0,1,heartbeat,0,63.08,-0.16,9999.0,5.0,1,37.496777,126.957726,0.097,175.72,1,0.192,0.0
1785924818.787,6687,0,0,0,0,1,heartbeat,0,64.01,-0.64,9999.0,5.0,1,37.496777,126.957733,0.08,175.26,1,0.173,0.0
1785924819.842,6697,0,0,0,0,1,heartbeat,0,65.08,-0.84,9999.0,5.0,1,37.496777,126.957741,0.051,174.23,1,0.143,0.0
1785924820.891,6708,0,0,0,0,1,heartbeat,0,65.68,-0.64,9999.0,5.0,1,37.496777,126.957748,0.034,175.57,1,0.125,0.0
1785924821.931,6717,0,0,0,0,1,heartbeat,0,66.24,-0.63,9999.0,5.0,1,37.496773,126.957748,0.047,174.83,1,0.083,0.0
1785924822.978,6727,0,0,0,0,1,heartbeat,0,66.37,-0.31,9999.0,5.0,1,37.496773,126.957748,0.041,174.03,1,0.099,0.0
1785924824.025,6738,0,0,0,0,1,heartbeat,0,66.56,-0.23,9999.0,5.0,1,37.496769,126.957748,0.044,173.91,1,0.138,0.0
1785924825.063,6748,0,0,0,0,1,heartbeat,0,67.29,-0.5,9999.0,5.0,1,37.496765,126.957756,0.045,173.85,1,0.105,0.0
1785924826.111,6758,0,0,0,0,1,heartbeat,0,67.25,-0.21,9999.0,5.0,1,37.496765,126.957748,0.028,174.5,1,0.134,0.0
1785924827.153,6768,0,0,0,0,1,heartbeat,0,67.91,-0.45,9999.0,5.0,1,37.496761,126.957748,0.046,174.82,1,0.139,0.0
1785924828.195,6778,0,0,0,0,1,heartbeat,0,68.01,-0.22,9999.0,5.0,1,37.496761,126.957748,0.042,175.07,1,0.149,0.0
1785924829.239,6788,0,0,0,0,1,heartbeat,0,67.65,0.09,721.69,1.6,1,37.496758,126.957741,0.028,174.59,1,0.229,0.0
1785924830.243,6797,0,0,0,0,1,heartbeat,0,67.55,0.1,648.45,1.6,1,37.496758,126.957741,0.022,174.67,1,0.267,0.0
1785924831.327,6808,0,0,0,0,1,heartbeat,0,67.84,-0.1,9999.0,5.0,1,37.496754,126.957741,0.019,174.72,1,0.249,0.0
1785924832.375,6818,0,0,0,0,1,heartbeat,0,67.96,-0.11,9999.0,5.0,1,37.49675,126.957741,0.026,175.46,1,0.149,0.0
1785924833.383,6827,0,0,0,0,1,heartbeat,0,67.93,-0.03,9999.0,5.0,1,37.49675,126.957741,0.02,175.95,1,0.19,0.0
1785924834.443,6837,0,0,0,0,1,heartbeat,0,63.63,3.27,19.48,8.0,1,37.496746,126.957733,0.059,176.32,1,0.154,0.0
1785924835.496,6846,0,0,0,0,1,heartbeat,0,58.86,3.59,16.39,13.0,1,37.496746,126.957741,0.061,176.62,1,0.09,0.0
1785924836.55,6858,0,0,0,0,1,heartbeat,0,58.61,1.58,37.11,5.2,1,37.496742,126.957741,0.052,175.61,1,0.066,0.0
1785924837.588,6867,0,0,0,0,1,heartbeat,0,59.66,0.08,743.87,2.6,1,37.496742,126.957741,0.046,176.7,1,0.087,0.0
1785924838.637,6878,0,0,0,0,1,heartbeat,0,55.63,2.72,20.46,13.0,1,37.496738,126.957741,0.04,176.76,1,0.159,0.0
1785924839.695,6888,0,0,0,0,1,heartbeat,0,52.42,2.71,19.34,2.6,1,37.496738,126.957748,0.041,177.72,1,0.159,0.0
1785924840.724,6898,0,0,0,0,1,heartbeat,0,52.52,1.01,52.15,8.16,1,37.496735,126.957748,0.074,170.66,1,0.117,0.0
1785924841.769,6908,0,0,0,0,1,heartbeat,0,53.0,0.18,295.3,2.6,1,37.496731,126.957748,0.257,167.59,1,0.151,0.0
1785924842.806,6918,0,0,0,0,1,heartbeat,0,53.8,-0.39,9999.0,10.0,1,37.496727,126.957756,0.215,186.45,1,0.151,0.0
1785924843.848,6928,0,0,0,0,1,heartbeat,0,50.57,1.92,26.33,7.62,1,37.496716,126.957771,0.959,186.45,1,0.228,0.0
1785924844.954,6937,0,0,0,0,1,heartbeat,0,48.55,1.6,30.44,2.6,1,37.496708,126.957764,0.568,256.53,1,0.254,0.0
1785924846.04,6949,0,0,0,0,1,heartbeat,0,46.91,1.6,29.4,2.6,1,37.496708,126.957756,0.359,256.82,1,0.209,0.0
1785924847.062,6958,0,0,0,0,1,heartbeat,0,46.87,0.71,66.16,2.6,1,37.496712,126.957748,0.19,256.19,1,0.113,0.0
1785924848.128,6969,0,0,0,0,1,heartbeat,0,46.73,0.34,135.52,2.6,1,37.496712,126.957748,0.239,246.08,1,0.104,0.0
1785924849.152,6978,0,0,0,0,1,heartbeat,0,48.2,-0.58,9999.0,10.0,1,37.496708,126.957756,0.328,246.08,1,0.138,0.0
1785924850.195,6988,0,0,0,0,1,heartbeat,0,49.74,-1.04,9999.0,10.0,1,37.496704,126.957771,0.813,198.53,1,0.134,0.0
1785924851.242,6998,0,0,0,0,1,heartbeat,0,50.34,-0.7,9999.0,10.0,1,37.496704,126.957787,0.353,194.99,1,0.159,0.0
1785924852.291,7008,0,0,0,0,1,heartbeat,0,50.71,-0.49,9999.0,10.0,1,37.4967,126.957787,0.187,196.92,1,0.163,0.0
1785924853.34,7019,0,0,0,0,1,heartbeat,0,50.66,-0.17,9999.0,10.0,1,37.496696,126.957787,0.16,195.88,1,0.184,0.0
1785924854.38,7028,0,0,0,0,1,heartbeat,0,50.63,-0.09,9999.0,10.0,1,37.496693,126.957787,0.178,187.69,1,0.13,0.0
1785924855.427,7039,0,0,0,0,1,heartbeat,0,48.53,1.57,30.99,10.25,1,37.496693,126.957787,0.143,180.42,1,0.086,0.0
1785924855.87,7043,1,1,0,0,1,change,0,44.46,3.81,11.67,21.0,1,37.496693,126.957787,0.143,178.3,1,0.105,0.0
1785924856.886,7053,1,1,1,0,1,heartbeat,0,42.15,2.79,15.11,4.45,1,37.496689,126.957787,0.105,175.77,1,0.237,0.0
1785924857.931,7063,1,1,1,0,1,heartbeat,0,43.3,0.44,99.47,2.6,1,37.496681,126.957794,0.065,177.89,1,0.237,0.0
1785924858.391,7067,0,0,1,0,1,change,0,41.05,2.11,19.46,2.6,1,37.496674,126.957802,0.033,177.86,1,0.311,0.0
1785924859.333,7076,1,1,0,0,1,change,0,34.94,4.47,7.82,25.76,1,37.49667,126.957809,0.065,180.23,1,0.417,0.0
1785924860.381,7086,1,1,1,0,1,heartbeat,0,32.65,2.92,11.18,29.0,1,37.49667,126.957817,0.045,178.92,1,0.327,0.0
1785924861.411,7096,1,1,1,0,1,heartbeat,0,33.29,0.73,45.72,4.2,1,37.49667,126.957825,0.019,178.1,1,0.327,0.0
1785924862.425,7106,1,1,1,0,1,heartbeat,0,31.64,1.79,17.72,4.2,1,37.496666,126.957832,0.02,178.64,1,0.39,0.0
1785924862.737,7109,0,0,1,0,1,change,0,29.47,2.97,9.91,5.8,1,37.496666,126.957832,0.02,179.14,1,0.313,0.0
1785924863.779,7119,0,0,0,0,1,heartbeat,0,28.23,1.84,15.35,4.2,1,37.496666,126.957832,0.077,182.4,1,0.186,0.0
1785924864.825,7129,0,0,0,0,1,heartbeat,0,28.3,0.83,34.1,4.2,1,37.49667,126.95784,0.083,183.88,1,0.161,0.0
1785924865.865,7139,0,0,0,0,1,heartbeat,0,28.82,0.06,501.2,4.2,1,37.49667,126.95784,0.21,187.79,1,0.137,0.0
1785924866.445,7144,1,1,0,0,1,change,0,28.6,0.18,163.1,21.0,1,37.496674,126.957832,0.154,186.72,1,0.104,0.0
1785924867.545,7155,1,1,1,0,1,heartbeat,0,28.09,0.31,91.76,4.2,1,37.496674,126.957832,0.235,185.41,1,0.096,0.0
1785924868.585,7165,1,1,1,0,1,heartbeat,0,28.14,0.16,177.62,4.2,1,37.496677,126.957832,0.236,183.0,1,0.062,0.0
1785924869.625,7175,1,1,1,0,1,heartbeat,0,28.0,0.15,185.95,4.2,1,37.496677,126.957832,0.153,183.03,1,0.124,0.0
1785924869.901,7177,0,0,1,0,1,change,0,27.94,0.16,176.79,4.2,1,37.496677,126.957832,0.153,183.3,1,0.124,0.0
1785924870.947,7187,0,0,0,0,1,heartbeat,0,28.4,-0.18,9999.0,18.0,1,37.496677,126.95784,0.133,182.66,1,0.147,0.0
1785924872.021,7198,0,0,0,0,1,heartbeat,0,28.35,-0.04,9999.0,18.0,1,37.496681,126.95784,0.163,179.56,1,0.204,0.0
1785924873.075,7208,0,0,0,0,1,heartbeat,0,28.41,-0.04,9999.0,18.0,1,37.496689,126.957848,0.286,177.75,1,0.172,0.0
1785924874.109,7218,0,0,0,0,1,heartbeat,0,28.55,-0.1,9999.0,18.0,1,37.496696,126.957855,0.272,179.91,1,0.161,0.0
1785924875.127,7227,0,0,0,0,1,heartbeat,0,28.86,-0.22,9999.0,18.0,1,37.4967,126.957863,0.278,179.57,1,0.152,0.0
1785924876.206,7238,0,0,0,0,1,heartbeat,0,29.59,-0.51,9999.0,18.0,1,37.496704,126.95787,0.22,178.37,1,0.126,0.0
1785924877.242,7248,0,0,0,0,1,heartbeat,0,29.87,-0.33,9999.0,18.0,1,37.496708,126.95787,0.205,179.09,1,0.159,0.0
1785924878.276,7256,0,0,0,0,1,heartbeat,0,29.67,-0.04,9999.0,18.0,1,37.496708,126.95787,0.205,179.97,1,0.273,0.0
1785924879.313,7267,0,0,0,0,1,heartbeat,0,30.36,-0.44,9999.0,18.0,1,37.496708,126.957878,0.142,179.9,1,0.315,0.0
1785924880.377,7278,0,0,0,0,1,heartbeat,0,31.01,-0.49,9999.0,18.0,1,37.496708,126.957878,0.117,179.36,1,0.287,0.0
1785924881.406,7287,0,0,0,0,1,heartbeat,0,31.05,-0.26,9999.0,18.0,1,37.496708,126.957878,0.064,179.4,1,0.154,0.0
1785924882.471,7298,0,0,0,0,1,heartbeat,0,31.89,-0.55,9999.0,18.0,1,37.496708,126.957886,0.125,178.76,1,0.134,0.0
1785924883.502,7307,0,0,0,0,1,heartbeat,0,32.11,-0.36,9999.0,18.0,1,37.496704,126.957886,0.065,178.58,1,0.226,0.0
1785924884.562,7318,0,0,0,0,1,heartbeat,0,33.06,-0.73,9999.0,18.0,1,37.4967,126.957893,0.03,178.31,1,0.199,0.0
1785924885.602,7328,0,0,0,0,1,heartbeat,0,33.48,-0.5,9999.0,18.0,1,37.4967,126.957893,0.04,177.89,1,0.223,0.0
1785924886.642,7338,0,0,0,0,1,heartbeat,0,34.03,-0.61,9999.0,18.0,1,37.496696,126.957901,0.038,177.48,1,0.199,0.0
1785924887.685,7348,0,0,0,0,1,heartbeat,0,34.91,-0.68,9999.0,18.0,1,37.496696,126.957901,0.028,177.66,1,0.106,0.0
1785924888.732,7358,0,0,0,0,1,heartbeat,0,35.05,-0.39,9999.0,18.0,1,37.4967,126.957909,0.065,177.44,1,0.063,0.0
1785924889.772,7368,0,0,0,0,1,heartbeat,0,35.06,-0.15,9999.0,18.0,1,37.4967,126.957909,0.14,177.32,1,0.05,0.0
1785924890.82,7378,0,0,0,0,1,heartbeat,0,35.84,-0.53,9999.0,18.0,1,37.4967,126.957916,0.196,177.82,1,0.046,0.0
1785925080.538,237,0,0,0,0,1,heartbeat,0,56.87,-0.58,9999.0,10.0,1,37.496651,126.957794,0.105,0.0,1,0.0,0.0
1785925081.574,247,0,0,0,0,1,heartbeat,0,58.29,-1.53,9999.0,10.0,1,37.496643,126.957794,0.163,0.0,1,0.556,308.59
1785925082.578,257,0,0,0,0,1,heartbeat,0,63.33,-3.72,9999.0,5.0,1,37.496635,126.957802,0.093,0.0,1,0.776,308.57
1785925083.618,267,0,0,0,0,1,heartbeat,0,66.48,-3.26,9999.0,5.0,1,37.496628,126.957809,0.054,0.0,1,0.527,308.57
1785925084.658,277,0,0,0,0,1,heartbeat,0,66.49,-1.28,9999.0,5.0,1,37.496616,126.957809,0.05,0.0,1,0.394,308.57
1785925085.7,287,0,0,0,0,1,heartbeat,0,66.81,-0.77,9999.0,5.0,1,37.496609,126.957817,0.039,0.0,1,0.214,308.57
1785925086.742,297,0,0,0,0,1,heartbeat,0,66.6,-0.27,9999.0,5.0,1,37.496601,126.957817,0.019,0.0,1,0.356,308.57
1785925087.782,307,0,0,0,0,1,heartbeat,0,67.18,-0.45,9999.0,5.0,1,37.496593,126.957825,0.017,0.0,1,0.384,308.57
1785925088.824,317,0,0,0,0,1,heartbeat,0,67.08,-0.13,9999.0,5.0,1,37.49659,126.957825,0.022,0.0,1,0.412,308.57
1785925089.862,327,0,0,0,0,1,heartbeat,0,67.01,-0.03,9999.0,5.0,1,37.496586,126.957832,0.015,0.0,1,0.342,308.57
1785925090.87,336,0,0,0,0,1,heartbeat,0,66.85,0.11,586.58,1.6,1,37.496582,126.957832,0.018,160.81,1,0.296,308.57
1785925091.924,346,0,0,0,0,1,heartbeat,0,66.73,0.12,534.62,1.6,1,37.496578,126.95784,0.032,164.24,1,0.272,308.57
1785925092.965,356,0,0,0,0,1,heartbeat,0,66.51,0.17,395.34,1.6,1,37.496578,126.95784,0.088,167.53,1,0.307,308.57
1785925094.008,366,0,0,0,0,1,heartbeat,0,66.28,0.21,322.02,1.6,1,37.496574,126.95784,0.07,0.0,1,0.367,308.57
1785925095.051,376,0,0,0,0,1,heartbeat,0,64.54,1.25,51.58,1.6,1,37.496574,126.95784,0.038,168.09,1,0.439,308.57
1785925096.122,387,0,0,0,0,1,heartbeat,0,61.44,2.16,28.51,1.6,1,37.496574,126.95784,0.052,166.68,1,0.404,308.57
1785925097.152,396,0,0,0,0,1,heartbeat,0,60.82,1.19,51.02,1.6,1,37.496574,126.95784,0.045,161.26,1,0.336,308.57
1785925098.209,407,0,0,0,0,1,heartbeat,0,61.51,0.19,327.13,1.6,1,37.496571,126.95784,0.035,165.8,1,0.218,308.57
1785925099.241,416,0,0,0,0,1,heartbeat,0,61.6,0.04,1718.2,1.6,1,37.496571,126.95784,0.025,167.3,1,0.223,308.57
1785925100.286,426,0,0,0,0,1,heartbeat,0,61.58,0.04,1464.28,1.6,1,37.496567,126.95784,0.019,163.93,1,0.246,308.57
1785925101.337,436,0,0,0,0,1,heartbeat,0,62.14,-0.28,9999.0,5.0,1,37.496563,126.957848,0.049,162.88,1,0.258,308.57
