ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,risk_level
13000,3600,1400,3681.92,1417.84,1.2,15.89,83.8400381679303,14.69,5.707286464801246,0
13000,3600,1400,3571.43,1464.49,1.2,5.65,70.53513308982986,4.45,15.850591705579742,0
13000,3600,1400,3637.94,1307.76,1.2,5.0,99.73796268222048,3.8,26.246832284794866,0
13000,3600,1400,3850.44,1327.37,1.2,3.64,260.7591043472884,2.4400000000000004,106.86848538823294,0
13000,3600,1400,3668.02,1413.97,1.2,1.98,69.43976742472572,0.78,89.02534285221245,0
13000,3600,1400,3593.18,1361.28,1.2,0.0,39.31603744021013,-1.2,9999.0,0
13000,3600,1400,3804.56,1159.28,1.2,21.09,315.8969958704894,19.89,15.88220190399645,0
13000,3600,1400,3648.61,1330.29,1.2,7.38,84.98479981737921,6.18,13.751585730967511,0
13000,3600,1400,3517.09,1425.32,1.2,14.16,86.69008305452229,12.96,6.689049618404497,0
13000,3600,1400,3596.05,1592.74,1.2,10.8,192.7804712620031,9.6,20.08129908979199,0
13000,3600,1400,3557.49,1459.5,1.2,3.5,73.12557760455653,2.3,31.79372939328545,0
13000,3600,1400,3699.22,1414.28,1.2,13.01,100.24234035575964,11.81,8.487920436558817,0
13000,3600,1400,3487.83,1571.09,1.2,9.56,204.5822499631872,8.360000000000001,24.47156100038124,0
13000,3600,1400,3474.53,1591.37,1.2,2.87,228.834433160746,1.6700000000000002,137.0266066830814,0
14000,3600,1400,3669.86,1420.21,1.2,12.46,72.7245742510743,11.260000000000002,6.4586655640385695,0
14000,3600,1400,3577.78,1468.54,1.2,7.53,72.05178693134533,6.33,11.38258877272438,0
14000,3600,1400,3638.49,1315.27,1.2,7.53,93.06262944920472,6.33,14.701837195766938,0
14000,3600,1400,3855.96,1326.22,1.2,5.64,266.3813244204631,4.44,59.99579378839258,0
14000,3600,1400,3672.09,1413.32,1.2,4.19,73.31023461973109,2.99,24.51847311696692,0
14000,3600,1400,3593.77,1360.04,1.2,1.38,40.442731114503175,0.1799999999999999,224.68183952501775,0
14000,3600,1400,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2,9999.0,0
14000,3600,1400,3817.09,1139.26,1.2,23.53,339.28368027360244,22.33,15.194074351706336,0
14000,3600,1400,3657.68,1330.54,1.2,9.11,90.28662137880666,7.909999999999999,11.414237848142436,0
14000,3600,1400,3507.0,1415.53,1.2,14.06,94.28775583287576,12.86,7.331862817486451,0
14000,3600,1400,3584.63,1593.24,1.2,11.44,193.85028888294184,10.24,18.930692273724787,0
14000,3600,1400,3563.21,1461.19,1.2,5.96,71.39832070854331,4.76,14.999647207677166,0
14000,3600,1400,3685.25,1417.15,1.2,14.46,86.95794960784208,13.260000000000002,6.55791475172263,0
14000,3600,1400,3494.0,1561.4,1.2,11.48,193.0957275550136,10.28,18.783631085118056,0
14000,3600,1400,3477.29,1587.17,1.2,5.03,223.8087420097795,3.83,58.435702874616055,0
15000,3600,1400,3662.06,1420.83,1.2,7.96,65.46245106929614,6.76,9.683794536878127,0
15000,3600,1400,3581.5,1470.97,1.2,4.45,73.34160415480427,3.25,22.566647432247468,0
15000,3600,1400,3639.18,1324.5,1.2,9.25,85.06069832772353,8.05,10.566546376114722,0
15000,3600,1400,3863.87,1324.57,1.2,8.09,274.43954124724803,6.89,39.83157347565284,0
15000,3600,1400,3677.42,1412.22,1.2,5.52,78.37847153396149,4.319999999999999,18.143164706935533,0
15000,3600,1400,3596.0,1356.87,1.2,3.9,43.31508859508438,2.7,16.042625405586808,0
15000,3600,1400,3473.3,1593.23,1.2,2.09,231.0643263249435,0.8899999999999999,259.6228385673523,0
15000,3600,1400,3739.98,1369.58,1.2,0.0,143.24725756537194,-1.2,9999.0,0
15000,3600,1400,3826.53,1115.43,1.2,25.77,363.7250689738062,24.57,14.803625110859022,0
15000,3600,1400,3668.11,1333.11,1.2,10.8,95.46331337220612,9.6,9.944095142938137,0
15000,3600,1400,3496.97,1405.79,1.2,13.97,103.19256271650607,12.77,8.080858474276122,0
15000,3600,1400,3573.32,1594.33,1.2,11.36,196.1529283492856,10.16,19.306390585559605,0
15000,3600,1400,3570.18,1463.69,1.2,7.43,70.32530483403549,6.23,11.288170920390929,0
15000,3600,1400,3675.48,1419.16,1.2,10.1,77.87384670093039,8.9,8.749870415834874,0
15000,3600,1400,3500.42,1551.32,1.2,11.96,181.1461255450968,10.760000000000002,16.835141779284086,0
15000,3600,1400,3480.87,1581.75,1.2,6.5,217.31318275705232,5.3,41.00248731265138,0
16000,3600,1400,3651.93,1419.66,1.2,10.15,55.52693490550317,8.950000000000001,6.204126805084152,0
16000,3600,1400,3584.91,1473.24,1.2,4.11,74.77837722229606,2.91,25.697036846149846,0
16000,3600,1400,3642.01,1329.72,1.2,6.34,81.87868159661595,5.14,15.929704590781315,0
16000,3600,1400,3873.94,1322.47,1.2,10.28,284.69988496660835,9.08,31.354612881785062,0
16000,3600,1400,3684.5,1410.77,1.2,7.33,85.18358351231767,6.13,13.896180018322621,0
16000,3600,1400,3600.01,1352.08,1.2,6.25,47.92000104340574,5.05,9.489109117506088,0
16000,3600,1400,3475.18,1590.38,1.2,3.42,227.650119261994,2.22,102.54509876666395,0
16000,3600,1400,3737.48,1369.88,1.2,2.51,140.74077163352487,1.3099999999999998,107.4357035370419,0
16000,3600,1400,3567.2,1449.88,1.2,0.0,59.69802676806013,-1.2,9999.0,0
16000,3600,1400,3829.68,1088.46,1.2,27.1,387.0530635455556,25.9,14.94413372762763,0
16000,3600,1400,3676.13,1336.93,1.2,8.9,98.86152841221912,7.7,12.83915953405443,0
16000,3600,1400,3487.26,1396.36,1.2,13.54,112.7987464469351,12.34,9.140903277709489,0
16000,3600,1400,3562.45,1595.39,1.2,10.92,198.96546082172168,9.72,20.469697615403465,0
16000,3600,1400,3574.45,1466.41,1.2,5.06,71.15539754649691,3.86,18.434040815154642,0
16000,3600,1400,3668.72,1420.34,1.2,6.96,71.66696589084799,5.76,12.442181578272221,0
16000,3600,1400,3507.12,1540.81,1.2,12.46,168.68358100301288,11.260000000000002,14.980779840409667,0
16000,3600,1400,3485.73,1574.38,1.2,8.82,208.485052941452,7.62,27.360243168169553,0
17000,3600,1400,3643.37,1416.86,1.2,8.94,46.53188691639301,7.739999999999999,6.01187169462442,0
17000,3600,1400,3590.57,1473.95,1.2,4.27,74.54882561113892,3.0699999999999994,24.283005085061543,0
17000,3600,1400,3647.85,1330.31,1.2,5.96,84.53590124911426,4.76,17.75964311956182,0
17000,3600,1400,3885.85,1319.98,1.2,12.17,296.8390521814809,10.97,27.059166105877928,0
17000,3600,1400,3692.98,1409.03,1.2,8.77,93.4174571480085,7.569999999999999,12.340483110701255,0
17000,3600,1400,3605.99,1346.11,1.2,8.46,54.22187934773202,7.260000000000001,7.4685784225526195,0
17000,3600,1400,3477.93,1586.2,1.2,5.01,222.64663684861728,3.81,58.4374374930754,0
17000,3600,1400,3732.66,1370.44,1.2,4.85,135.91346217354615,3.65,37.23656497905374,0
17000,3600,1400,3568.36,1448.01,1.2,2.2,57.49825823448908,1.0000000000000002,57.498258234489064,0
17000,3600,1400,3828.46,1060.37,1.2,28.02,409.3195676974168,26.82,15.261728847778404,0
17000,3600,1400,3679.92,1339.29,1.2,4.46,100.36389041881556,3.26,30.786469453624406,0
17000,3600,1400,3477.83,1387.21,1.2,13.14,122.83766930384186,11.94,10.287912001996807,0
17000,3600,1400,3551.87,1596.43,1.2,10.63,202.2405542911709,9.43,21.446506287504867,0
17000,3600,1400,3577.96,1468.65,1.2,4.16,72.10120734079291,2.96,24.35851599351112,0
17000,3600,1400,3661.97,1420.82,1.2,6.88,65.37394970475604,5.68,11.50949818745705,0
17000,3600,1400,3513.67,1530.52,1.2,12.21,156.48750525201677,11.010000000000002,14.213215735877997,0
17000,3600,1400,3491.49,1565.34,1.2,10.72,197.7668720994495,9.52,20.773831102883353,0
18000,3600,1400,3639.54,1414.48,1.2,4.44,42.107980241279655,3.24,12.996290197925818,0
18000,3600,1400,3595.95,1469.78,1.2,6.77,69.8974312832739,5.569999999999999,12.548910463783466,0
18000,3600,1400,3655.29,1330.12,1.2,7.44,89.10779146629105,6.24,14.280094786264591,0
18000,3600,1400,3899.47,1317.1,1.2,13.92,310.73250698953257,12.72,24.42865620986891,0
18000,3600,1400,3703.83,1406.8,1.2,11.24,104.05243341700368,10.04,10.363788188944591,0
18000,3600,1400,3613.8,1340.16,1.2,9.82,61.41063100148048,8.620000000000001,7.124203132422329,0
18000,3600,1400,3481.68,1580.52,1.2,6.8,215.8404336541234,5.6,38.54293458109346,0
18000,3600,1400,3725.81,1370.13,1.2,7.14,129.30728131083717,5.94,21.768902577582015,0
18000,3600,1400,3570.58,1444.43,1.2,4.22,53.28753418952701,3.02,17.644878870704307,0
18000,3600,1400,3691.77,1333.57,1.2,0.0,113.29023700213538,-1.2,9999.0,0
18000,3600,1400,3822.93,1034.14,1.2,26.71,428.4289025030873,25.51,16.794547334499697,0
18000,3600,1400,3684.55,1342.8,1.2,5.81,102.08105847805476,4.609999999999999,22.14339663298368,0
18000,3600,1400,3470.12,1379.73,1.2,10.75,131.45222440111095,9.55,13.76463082734146,0
18000,3600,1400,3545.08,1596.92,1.2,6.84,204.43505765890555,5.64,36.24735064874212,0
18000,3600,1400,3581.73,1471.13,1.2,4.52,73.43888479545434,3.3199999999999994,22.120146022727216,0
18000,3600,1400,3653.04,1419.8,1.2,8.95,56.615206437846666,7.749999999999999,7.305187927464087,0
18000,3600,1400,3520.08,1520.46,1.2,11.92,144.56077614622862,10.72,13.485147028566102,0
18000,3600,1400,3497.78,1555.47,1.2,11.71,186.06409997632528,10.510000000000002,17.703529969203164,0
19000,3600,1400,3635.41,1409.47,1.2,6.76,36.65445402676174,5.56,6.59252770265499,0
19000,3600,1400,3603.7,1464.02,1.2,9.11,64.12683057815968,7.909999999999999,8.107058227327395,0
19000,3600,1400,3664.77,1331.9,1.2,9.65,93.98277980566432,8.450000000000001,11.122222462208795,0
19000,3600,1400,3912.72,1314.27,1.2,13.54,324.25827869153915,12.34,26.27700799769361,0
19000,3600,1400,3716.14,1404.27,1.2,12.75,116.21846884209054,11.55,10.062205094553294,0
19000,3600,1400,3622.86,1335.38,1.2,10.26,68.54432142781772,9.06,7.56559839159136,0
19000,3600,1400,3486.41,1573.31,1.2,8.62,207.21738392326068,7.419999999999999,27.92687114868743,0
19000,3600,1400,3718.07,1365.62,1.2,8.96,122.97361221009996,7.760000000000001,15.847114975528344,0
19000,3600,1400,3574.16,1438.64,1.2,6.8,46.48392410285533,5.6,8.30070073265274,0
19000,3600,1400,3692.98,1331.71,1.2,2.22,115.36379197997957,1.0200000000000002,113.1017568431172,0
19000,3600,1400,3818.07,1011.96,1.2,22.62,445.1174749434132,21.42,20.780461015098652,0
19000,3600,1400,3687.39,1349.46,1.2,7.53,100.95198710278058,6.33,15.948181216868969,0
19000,3600,1400,3464.85,1374.62,1.2,7.34,137.51242452956762,6.14,22.39616034683512,0
19000,3600,1400,3540.68,1595.54,1.2,4.61,204.3398003326812,3.41,59.92369511222322,0
19000,3600,1400,3586.51,1473.92,1.2,5.58,75.14084441899762,4.38,17.155443931277993,0
19000,3600,1400,3648.12,1418.99,1.2,4.91,51.73156193273106,3.71,13.943817232542065,0
19000,3600,1400,3526.66,1510.12,1.2,12.26,132.3071048734723,11.06,11.962667710078868,0
19000,3600,1400,3504.13,1545.5,1.2,11.82,174.24496233750915,10.62,16.407246924435892,0
