pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787710445.923,313,0,0,0,0,1,heartbeat,0,7.57,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496506,126.957626,0.019,0.0,1,37.496559,126.957619,0.053,0.0,-0.35,7.56,gps
1787710446.143,315,0,0,0,0,1,heartbeat,0,7.43,0.0,9999.0,21.27,0,ttc_capped,,table,1,37.496506,126.957634,0.016,0.0,1,37.496559,126.957619,0.053,0.0,-0.45,7.41,gps
1787710446.352,317,0,0,0,0,1,heartbeat,0,7.43,0.0,9999.0,21.6,0,ttc_capped,,table,1,37.496506,126.957634,0.014,0.0,1,37.496559,126.957619,0.063,0.0,-0.45,7.41,gps
1787710446.569,319,0,0,0,0,1,heartbeat,0,7.27,0.0,9999.0,24.27,0,ttc_capped,,table,1,37.49651,126.957634,0.016,0.0,1,37.496559,126.957619,0.063,0.0,-0.53,7.25,gps
1787710446.777,321,0,0,0,0,1,heartbeat,0,7.27,0.0,9999.0,24.54,0,ttc_capped,,table,1,37.49651,126.957634,0.018,0.0,1,37.496559,126.957619,0.063,0.0,-0.53,7.25,gps
1787710446.997,323,0,0,0,0,1,heartbeat,0,7.27,0.0,9999.0,24.79,0,ttc_capped,,table,1,37.49651,126.957634,0.012,0.0,1,37.496559,126.957619,0.063,0.0,-0.53,7.25,gps
1787710447.201,325,0,0,0,0,1,heartbeat,0,7.11,0.0,9999.0,26.38,0,ttc_capped,,table,1,37.496513,126.957634,0.015,0.0,1,37.496559,126.957619,0.075,0.0,-0.6,7.09,gps
1787710447.418,327,0,0,0,0,1,heartbeat,0,7.11,0.0,9999.0,26.51,0,ttc_capped,,table,1,37.496513,126.957634,0.017,0.0,1,37.496559,126.957619,0.075,0.0,-0.6,7.09,gps
1787710447.625,329,0,0,0,0,1,heartbeat,0,7.11,0.0,9999.0,26.63,0,ttc_capped,,table,1,37.496513,126.957634,0.016,0.0,1,37.496559,126.957619,0.075,0.0,-0.6,7.09,gps
1787710447.839,331,0,0,0,0,1,heartbeat,0,7.11,0.0,9999.0,26.75,0,ttc_capped,,table,1,37.496513,126.957634,0.011,0.0,1,37.496559,126.957619,0.075,0.0,-0.6,7.09,gps
1787710448.063,333,0,0,0,0,1,heartbeat,0,6.94,0.0,9999.0,28.63,0,ttc_capped,,table,1,37.496517,126.957634,0.021,0.0,1,37.496559,126.957619,0.075,0.0,-0.65,6.91,gps
1787710448.264,335,0,0,0,0,1,heartbeat,0,6.94,0.0,9999.0,28.69,0,ttc_capped,,table,1,37.496517,126.957634,0.034,0.0,1,37.496559,126.957619,0.058,0.0,-0.65,6.91,gps
1787710448.479,337,0,0,0,0,1,heartbeat,0,6.94,0.0,9999.0,28.75,0,ttc_capped,,table,1,37.496517,126.957634,0.13,0.0,1,37.496559,126.957619,0.058,0.0,-0.65,6.91,gps
1787710448.69,339,0,0,0,0,1,heartbeat,0,6.94,0.0,9999.0,28.82,0,ttc_capped,,table,1,37.496517,126.957634,0.113,0.0,1,37.496559,126.957619,0.058,0.0,-0.65,6.91,gps
1787710448.902,341,0,0,0,0,1,heartbeat,0,6.94,0.0,9999.0,28.89,0,ttc_capped,,table,1,37.496517,126.957634,0.135,0.0,1,37.496559,126.957619,0.058,0.0,-0.65,6.91,gps
1787710449.112,343,0,0,0,0,1,heartbeat,0,6.76,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496521,126.957634,0.097,0.0,1,37.496559,126.957619,0.058,0.0,-0.71,6.73,gps
1787710449.32,345,0,0,0,0,1,heartbeat,0,6.77,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496521,126.957634,0.058,0.0,1,37.496559,126.957619,0.034,0.0,-0.7,6.73,gps
1787710449.535,347,0,0,0,0,1,heartbeat,0,6.58,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496525,126.957634,0.063,0.0,1,37.496559,126.957619,0.034,0.0,-0.75,6.54,gps
1787710449.746,349,0,0,0,0,1,heartbeat,0,6.58,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496525,126.957634,0.052,0.0,1,37.496559,126.957619,0.034,0.0,-0.75,6.54,gps
1787710449.957,351,0,0,0,0,1,heartbeat,0,6.58,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496525,126.957634,0.043,0.0,1,37.496559,126.957619,0.034,0.0,-0.75,6.54,gps
1787710450.17,353,0,0,0,0,1,heartbeat,0,6.58,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496525,126.957634,0.051,0.0,1,37.496559,126.957619,0.034,0.0,-0.75,6.54,gps
1787710450.385,355,0,0,0,0,1,heartbeat,0,6.58,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496525,126.957634,0.066,0.0,1,37.496559,126.957619,0.048,0.0,-0.75,6.54,gps
1787710450.596,357,0,0,0,0,1,heartbeat,0,6.38,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.16,0.0,1,37.496559,126.957619,0.048,0.0,-0.79,6.33,gps
1787710450.808,359,0,0,0,0,1,heartbeat,0,6.38,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.124,0.0,1,37.496559,126.957619,0.048,0.0,-0.79,6.34,gps
1787710451.008,361,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.098,0.0,1,37.496559,126.957619,0.048,0.0,-0.79,6.34,gps
1787710451.216,363,0,0,0,0,1,heartbeat,0,6.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496529,126.957634,0.131,0.0,1,37.496559,126.957619,0.039,0.0,-0.79,6.34,gps
