pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,rssi
1785746226.619,vehicle,2882630492,262,0,0.0,0.0,0.0,0.0,-79
1785746226.722,vehicle,2882630492,263,0,0.0,0.0,0.0,0.0,-75
1785746226.823,vehicle,2882630492,264,0,0.0,0.0,0.0,0.0,-78
1785746227.028,vehicle,2882630492,266,0,0.0,0.0,0.0,0.0,-79
1785746227.131,vehicle,2882630492,267,0,0.0,0.0,0.0,0.0,-78
1785746227.338,vehicle,2882630492,269,0,0.0,0.0,0.0,0.0,-80
1785746227.379,cane,4125577512,20553,1,37.496643,126.957848,0.01,188.05,-63
1785746227.540,vehicle,2882630492,271,0,0.0,0.0,0.0,0.0,-78
1785746227.591,cane,4125577512,20555,1,37.496643,126.957848,0.01,188.05,-64
1785746227.640,vehicle,2882630492,272,0,0.0,0.0,0.0,0.0,-74
1785746227.662,cane,4125577512,20556,1,37.496643,126.957848,0.01,188.05,-65
1785746227.741,vehicle,2882630492,273,0,0.0,0.0,0.0,0.0,-80
1785746227.802,cane,4125577512,20557,1,37.496643,126.957848,0.01,188.05,-64
1785746227.847,vehicle,2882630492,274,0,0.0,0.0,0.0,0.0,-80
1785746227.900,cane,4125577512,20558,1,37.496643,126.957848,0.01,188.05,-65
1785746227.949,vehicle,2882630492,275,0,0.0,0.0,0.0,0.0,-78
1785746228.012,cane,4125577512,20559,1,37.496643,126.957848,0.01,188.05,-65
1785746228.051,vehicle,2882630492,276,0,0.0,0.0,0.0,0.0,-81
1785746228.156,vehicle,2882630492,277,0,0.0,0.0,0.0,0.0,-77
1785746228.178,cane,4125577512,20560,1,37.496643,126.957848,0.01,188.05,-65
1785746228.251,vehicle,2882630492,278,0,0.0,0.0,0.0,0.0,-79
1785746228.308,cane,4125577512,20562,1,37.496643,126.957848,0.01,188.05,-65
1785746228.343,cane,4125577512,20563,1,37.496643,126.957848,0.01,188.05,-65
1785746228.365,vehicle,2882630492,279,0,0.0,0.0,0.0,0.0,-81
1785746228.662,vehicle,2882630492,282,0,0.0,0.0,0.0,0.0,-77
1785746228.684,cane,4125577512,20566,1,37.496643,126.957848,0.01,188.05,-65
1785746228.761,vehicle,2882630492,283,0,0.0,0.0,0.0,0.0,-76
1785746228.840,cane,4125577512,20567,1,37.496639,126.957848,0.01,188.05,-65
1785746228.867,vehicle,2882630492,284,0,0.0,0.0,0.0,0.0,-81
1785746228.889,cane,4125577512,20568,1,37.496639,126.957848,0.01,188.05,-65
1785746228.968,vehicle,2882630492,285,0,0.0,0.0,0.0,0.0,-82
1785746229.069,vehicle,2882630492,286,0,0.0,0.0,0.0,0.0,-77
1785746229.174,vehicle,2882630492,287,0,0.0,0.0,0.0,0.0,-77
1785746229.283,vehicle,2882630492,288,0,0.0,0.0,0.0,0.0,-79
1785746229.376,vehicle,2882630492,289,0,0.0,0.0,0.0,0.0,-79
1785746229.398,cane,4125577512,20573,1,37.496639,126.957848,0.007,188.05,-66
1785746229.485,vehicle,2882630492,290,0,0.0,0.0,0.0,0.0,-73
1785746229.586,cane,4125577512,20575,1,37.496639,126.957848,0.007,188.05,-64
1785746229.673,cane,4125577512,20576,1,37.496639,126.957848,0.007,188.05,-65
1785746229.695,vehicle,2882630492,292,0,0.0,0.0,0.0,0.0,-77
1785746229.792,vehicle,2882630492,293,0,0.0,0.0,0.0,0.0,-80
1785746229.871,cane,4125577512,20577,1,37.496639,126.957848,0.007,188.05,-64
1785746229.894,vehicle,2882630492,294,0,0.0,0.0,0.0,0.0,-78
1785746229.991,vehicle,2882630492,295,0,0.0,0.0,0.0,0.0,-78
1785746230.092,vehicle,2882630492,296,0,0.0,0.0,0.0,0.0,-72
1785746230.295,vehicle,2882630492,298,0,0.0,0.0,0.0,0.0,-72
1785746230.404,vehicle,2882630492,299,0,0.0,0.0,0.0,0.0,-71
1785746230.505,vehicle,2882630492,300,0,0.0,0.0,0.0,0.0,-73
1785746230.698,cane,4125577512,20585,1,37.496639,126.957848,0.012,188.05,-65
1785746230.720,vehicle,2882630492,302,0,0.0,0.0,0.0,0.0,-73
1785746230.811,vehicle,2882630492,303,0,0.0,0.0,0.0,0.0,-75
1785746230.910,vehicle,2882630492,304,0,0.0,0.0,0.0,0.0,-76
1785746231.011,vehicle,2882630492,305,0,0.0,0.0,0.0,0.0,-73
1785746231.116,vehicle,2882630492,306,0,0.0,0.0,0.0,0.0,-74
1785746231.215,vehicle,2882630492,307,0,0.0,0.0,0.0,0.0,-78
1785746231.322,vehicle,2882630492,308,0,0.0,0.0,0.0,0.0,-77
1785746231.344,cane,4125577512,20592,1,37.496635,126.957848,0.011,188.05,-65
1785746231.415,cane,4125577512,20593,1,37.496635,126.957848,0.011,188.05,-65
1785746231.526,vehicle,2882630492,310,0,0.0,0.0,0.0,0.0,-85
1785746231.548,cane,4125577512,20594,1,37.496635,126.957848,0.011,188.05,-64
1785746231.603,cane,4125577512,20595,1,37.496635,126.957848,0.011,188.05,-64
1785746231.630,vehicle,2882630492,311,0,0.0,0.0,0.0,0.0,-79
1785746231.713,cane,4125577512,20596,1,37.496635,126.957848,0.011,188.05,-63
1785746231.735,vehicle,2882630492,312,0,0.0,0.0,0.0,0.0,-75
1785746231.810,cane,4125577512,20597,1,37.496635,126.957848,0.011,188.05,-65
1785746231.832,vehicle,2882630492,313,0,0.0,0.0,0.0,0.0,-75
1785746231.909,cane,4125577512,20598,1,37.496635,126.957848,0.011,188.05,-64
1785746231.934,vehicle,2882630492,314,0,0.0,0.0,0.0,0.0,-73
1785746232.015,cane,4125577512,20599,1,37.496635,126.957848,0.011,188.05,-64
1785746232.124,cane,4125577512,20600,1,37.496635,126.957848,0.011,188.05,-64
1785746232.153,vehicle,2882630492,316,0,0.0,0.0,0.0,0.0,-71
1785746232.234,cane,4125577512,20601,1,37.496635,126.957855,0.009,188.05,-65
1785746232.257,vehicle,2882630492,317,0,0.0,0.0,0.0,0.0,-79
1785746232.334,cane,4125577512,20602,1,37.496635,126.957855,0.008,188.05,-65
1785746232.356,vehicle,2882630492,318,0,0.0,0.0,0.0,0.0,-83
1785746232.415,cane,4125577512,20603,1,37.496635,126.957855,0.008,188.05,-64
1785746232.446,vehicle,2882630492,319,0,0.0,0.0,0.0,0.0,-79
1785746232.517,cane,4125577512,20604,1,37.496635,126.957855,0.008,188.05,-65
1785746232.620,cane,4125577512,20605,1,37.496635,126.957855,0.008,188.05,-64
1785746232.653,vehicle,2882630492,321,0,0.0,0.0,0.0,0.0,-80
1785746232.720,cane,4125577512,20606,1,37.496635,126.957855,0.008,188.05,-64
1785746232.753,vehicle,2882630492,322,0,0.0,0.0,0.0,0.0,-79
1785746232.824,cane,4125577512,20607,1,37.496635,126.957855,0.008,188.05,-63
1785746232.933,cane,4125577512,20608,1,37.496635,126.957855,0.008,188.05,-64
1785746232.958,vehicle,2882630492,324,0,0.0,0.0,0.0,0.0,-76
1785746233.031,cane,4125577512,20609,1,37.496635,126.957855,0.008,188.05,-63
1785746233.064,vehicle,2882630492,325,0,0.0,0.0,0.0,0.0,-79
1785746233.131,cane,4125577512,20610,1,37.496635,126.957855,0.008,188.05,-64
1785746233.162,vehicle,2882630492,326,0,0.0,0.0,0.0,0.0,-78
1785746233.249,cane,4125577512,20611,1,37.496635,126.957855,0.01,188.05,-64
1785746233.271,vehicle,2882630492,327,0,0.0,0.0,0.0,0.0,-76
1785746233.334,cane,4125577512,20612,1,37.496635,126.957855,0.012,188.05,-64
1785746233.373,vehicle,2882630492,328,0,0.0,0.0,0.0,0.0,-73
1785746233.468,vehicle,2882630492,329,0,0.0,0.0,0.0,0.0,-74
