pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786933676.341,8372,0,0,0,0,1,heartbeat,0,39.18,0.17,231.8,4.2,0,ttc_capped,0.066,table,1,37.496136,126.957626,0.431,0.0,1,37.496494,126.957687,0.226,0.0,4.64,38.91
1786933677.747,8385,0,0,0,0,1,heartbeat,0,39.53,0.26,153.32,4.2,0,ttc_capped,0.0032,table,1,37.496128,126.957626,0.177,0.0,1,37.496487,126.95768,0.444,241.83,4.44,39.28
1786933678.75,8394,0,0,0,0,1,heartbeat,0,39.67,0.25,159.53,4.2,0,ttc_capped,0.0041,table,1,37.49612,126.957619,0.22,0.0,1,37.496487,126.95768,0.4,241.83,4.39,39.43
1786933679.767,8404,0,0,0,0,1,heartbeat,0,39.97,0.15,274.72,4.2,0,ttc_capped,0.0041,table,1,37.496113,126.957626,0.233,0.0,1,37.496487,126.95768,0.39,241.83,4.47,39.72
1786933680.77,8414,0,0,0,0,1,heartbeat,0,40.1,0.15,264.63,2.6,0,ttc_capped,0.0013,table,1,37.496113,126.957626,0.519,0.0,1,37.496479,126.95768,0.457,241.83,4.26,39.87
1786933681.919,8424,0,0,0,0,1,heartbeat,0,40.95,-0.89,9999.0,10.0,0,ttc_capped,0.0001,table,1,37.496105,126.957626,0.527,0.0,1,37.49646,126.95768,0.496,241.83,3.81,40.77
1786933682.981,8435,0,0,0,0,1,heartbeat,0,40.52,0.31,130.19,2.6,0,ttc_capped,0.0032,table,1,37.496086,126.957619,0.302,0.0,1,37.496449,126.957672,0.546,241.83,3.76,40.34
1786933684.037,8445,0,0,0,0,1,heartbeat,0,39.96,0.56,70.92,4.2,0,ttc_capped,0.0032,table,1,37.496078,126.957619,0.23,0.0,1,37.496429,126.957664,0.705,219.2,3.53,39.8
1786933685.207,8454,0,0,0,0,1,heartbeat,0,39.47,0.56,70.68,4.2,0,ttc_capped,0.003,table,1,37.496075,126.957619,0.159,0.0,1,37.496418,126.957657,0.613,217.28,3.18,39.35
1786933686.238,8465,0,0,0,0,1,heartbeat,0,38.15,0.54,70.6,4.2,0,ttc_capped,0.0033,table,1,37.496078,126.957619,0.163,0.0,1,37.496407,126.957649,0.656,221.01,2.71,38.05
1786933687.254,8475,0,0,0,0,1,heartbeat,0,37.07,0.49,75.33,4.2,0,ttc_capped,0.0032,table,1,37.49609,126.957626,0.19,0.0,1,37.496399,126.957649,0.564,217.31,2.31,37.0
1786933688.262,8483,0,0,0,0,1,heartbeat,0,35.94,0.5,72.58,4.2,0,ttc_capped,0.0044,table,1,37.496098,126.957626,0.083,0.0,1,37.496391,126.957649,0.571,215.41,1.99,35.88
1786933689.284,8494,0,0,0,0,1,heartbeat,0,34.92,0.61,57.43,4.2,0,ttc_capped,0.0077,table,1,37.496117,126.957634,0.349,0.0,1,37.49638,126.957642,0.658,210.86,1.57,34.89
1786933690.296,8502,0,0,0,0,1,heartbeat,0,32.84,1.04,31.64,4.2,0,ttc_capped,0.0012,table,1,37.496143,126.957642,0.559,0.0,1,37.496372,126.957642,0.672,208.67,1.07,32.82
1786933691.314,8514,0,0,0,0,1,heartbeat,0,22.64,7.54,3.0,10.11,0,table,0.0001,table,1,37.496193,126.957657,0.55,0.0,1,37.496368,126.957642,0.588,204.79,-1.48,22.59
1786933692.37,8524,0,0,0,0,1,heartbeat,0,20.85,0.48,43.51,4.2,0,ttc_capped,0.0015,table,1,37.496204,126.957672,0.275,0.0,1,37.496365,126.957642,0.525,200.53,-1.98,20.75
1786933693.424,8534,0,0,0,0,1,heartbeat,0,19.38,0.5,38.98,5.6,0,ttc_capped,0.0015,table,1,37.496204,126.957672,0.138,0.0,1,37.496365,126.957642,0.547,200.61,-2.59,19.2
1786933694.481,8544,0,0,0,0,1,heartbeat,0,18.7,0.46,40.82,5.6,0,ttc_capped,0.0054,table,1,37.496201,126.957672,0.132,0.0,1,37.496365,126.957634,0.545,202.33,-2.84,18.48
1786933695.533,8554,0,0,0,0,1,heartbeat,0,18.26,0.45,40.58,5.6,0,ttc_capped,0.0037,table,1,37.496201,126.957664,0.053,0.0,1,37.496365,126.957634,0.526,202.53,-2.99,18.02
1786933696.587,8564,0,0,0,0,1,heartbeat,0,17.95,0.39,46.34,5.6,0,ttc_capped,0.0037,table,1,37.496201,126.957664,0.075,0.0,1,37.496368,126.957626,0.488,202.56,-3.2,17.66
1786933697.645,8574,0,0,0,0,1,heartbeat,0,17.68,0.5,35.51,5.6,0,ttc_capped,0.0037,table,1,37.496201,126.957657,0.071,0.0,1,37.496368,126.957619,0.601,202.56,-3.45,17.34
1786933698.693,8583,0,0,0,0,1,heartbeat,0,17.59,0.62,28.33,5.6,0,table,0.0054,table,1,37.496197,126.957649,0.079,0.0,1,37.496372,126.957619,0.788,202.56,-3.66,17.21
1786933699.72,8593,0,0,0,0,1,heartbeat,0,17.37,0.54,32.2,5.6,0,ttc_capped,0.0019,table,1,37.496193,126.957642,0.091,0.0,1,37.496372,126.957611,0.806,213.85,-4.03,16.9
1786933700.744,8603,0,0,0,0,1,heartbeat,0,17.37,0.45,38.92,5.6,0,ttc_capped,0.0095,table,1,37.496193,126.957642,0.135,0.0,1,37.496384,126.957611,0.755,214.67,-4.29,16.83
1786933701.764,8611,0,0,0,0,1,heartbeat,0,17.62,0.54,32.76,5.6,0,ttc_capped,0.0076,table,1,37.496197,126.957642,0.218,0.0,1,37.496387,126.957611,0.831,212.94,-4.65,17.0
1786933702.811,8623,0,0,0,0,1,heartbeat,0,17.54,0.57,30.62,5.6,0,ttc_capped,0.0076,table,1,37.496201,126.957634,0.195,0.0,1,37.496387,126.957603,0.962,213.69,-4.9,16.85
1786933703.865,8633,0,0,0,0,1,heartbeat,0,17.73,0.78,22.77,5.6,0,table,0.0096,table,1,37.496204,126.957626,0.22,0.0,1,37.49638,126.957596,1.305,213.63,-5.17,16.96
1786933704.918,8643,0,0,0,0,1,heartbeat,0,17.23,0.92,18.67,5.6,0,table,0.0029,table,1,37.496212,126.957626,0.263,0.0,1,37.496372,126.957588,1.489,211.06,-5.64,16.28
1786933705.97,8653,0,0,0,0,1,heartbeat,0,16.73,0.72,23.39,5.6,0,table,0.0023,table,1,37.496216,126.957626,0.267,0.0,1,37.496372,126.957581,1.105,208.32,-6.04,15.6
1786933707.026,8663,0,0,0,0,1,heartbeat,0,16.28,0.66,24.49,5.6,0,table,0.0023,table,1,37.49622,126.957626,0.131,0.0,1,37.496372,126.957581,1.134,209.36,-6.3,15.01
1786933708.082,8673,0,0,0,0,1,heartbeat,0,15.94,0.8,19.99,5.6,0,table,0.0066,table,1,37.496223,126.957626,0.081,0.0,1,37.496372,126.957573,1.504,211.26,-6.83,14.4
1786933709.123,8682,0,0,0,0,1,heartbeat,0,15.48,0.88,17.69,5.6,0,table,0.0224,table,1,37.49622,126.957626,0.075,0.0,1,37.496368,126.957573,1.675,208.88,-7.34,13.62
1786933710.189,8693,0,0,0,0,1,heartbeat,0,15.1,0.78,19.4,5.6,0,table,0.0057,table,1,37.496212,126.957626,0.043,0.0,1,37.496372,126.957573,1.533,207.49,-7.77,12.94
1786933711.251,8703,0,0,0,0,1,heartbeat,0,15.07,0.55,27.38,5.6,0,table,0.0047,table,1,37.496212,126.957634,0.08,0.0,1,37.496384,126.957573,1.157,208.64,-7.96,12.79
1786933712.301,8713,0,0,0,0,1,heartbeat,0,15.55,0.42,36.64,5.6,0,ttc_capped,0.0047,table,1,37.496208,126.957634,0.136,0.0,1,37.496395,126.957581,0.909,209.82,-7.86,13.41
1786933713.336,8722,0,0,0,0,1,heartbeat,0,16.85,0.37,45.88,5.6,0,ttc_capped,0.0107,table,1,37.496208,126.957649,0.144,0.0,1,37.496403,126.957581,0.716,209.77,-7.47,15.1
1786933714.352,8732,0,0,0,0,1,heartbeat,0,17.47,0.35,50.41,5.6,0,ttc_capped,0.009,table,1,37.496204,126.957657,0.105,0.0,1,37.496403,126.957581,0.625,208.97,-7.46,15.8
1786933715.356,8742,0,0,0,0,1,heartbeat,0,18.16,0.33,55.36,5.6,0,ttc_capped,0.002,table,1,37.496201,126.957672,0.077,0.0,1,37.496407,126.957581,0.616,208.86,-7.5,16.54
1786933716.393,8751,0,0,0,0,1,heartbeat,0,18.93,0.42,45.54,5.6,0,ttc_capped,0.007,table,1,37.496201,126.957672,0.097,0.0,1,37.496403,126.957581,0.813,212.05,-7.57,17.35
1786933717.416,8761,0,0,0,0,1,heartbeat,0,19.09,0.66,28.95,5.6,0,table,0.0064,table,1,37.496197,126.957687,0.124,0.0,1,37.496395,126.957565,1.379,213.46,-8.25,17.22
1786933718.448,8771,0,0,0,0,1,heartbeat,0,19.04,0.71,26.95,5.6,0,table,0.012,table,1,37.496193,126.957687,0.102,0.0,1,37.496391,126.957565,1.479,211.21,-9.1,16.73
1786933719.663,8782,0,0,0,0,1,heartbeat,0,18.86,0.66,28.47,5.6,0,table,0.0028,table,1,37.496189,126.957695,0.094,0.0,1,37.49638,126.957558,1.605,212.0,-10.12,15.91
1786933720.675,8792,0,0,0,0,1,heartbeat,0,19.16,0.55,34.99,5.6,0,ttc_capped,0.0372,table,1,37.496189,126.957703,0.056,0.0,1,37.496376,126.95755,1.728,215.63,-11.02,15.68
1786933721.681,8802,0,0,0,0,1,heartbeat,0,19.5,0.45,43.3,5.6,0,ttc_capped,0.0058,table,1,37.496181,126.957703,0.203,0.0,1,37.496372,126.95755,1.75,217.16,-11.94,15.41
1786933722.722,8811,0,0,0,0,1,heartbeat,0,19.86,0.38,51.97,5.6,0,ttc_capped,0.0213,table,1,37.496178,126.957703,0.159,0.0,1,37.496365,126.957542,1.65,215.81,-12.83,15.17
1786933723.736,8821,0,0,0,0,1,heartbeat,0,20.1,0.33,61.74,4.2,0,ttc_capped,0.0372,table,1,37.496178,126.957703,0.161,0.0,1,37.496365,126.957542,1.65,215.81,-13.56,14.83
1786933724.74,8831,0,0,0,0,1,heartbeat,0,20.34,0.28,73.23,4.2,0,ttc_capped,0.0074,table,1,37.496178,126.95771,0.257,0.0,1,37.496365,126.957542,1.65,215.58,-14.22,14.55
1786933734.183,8920,0,0,0,0,1,heartbeat,0,23.38,-0.25,9999.0,18.0,0,ttc_capped,0.0009,table,1,37.496181,126.957703,0.15,0.0,1,37.496384,126.957535,1.386,221.33,-18.49,14.31
1786933735.205,8930,0,0,0,0,1,heartbeat,0,24.85,0.25,99.96,4.2,0,ttc_capped,0.0172,table,1,37.496178,126.957695,0.213,0.0,1,37.496372,126.95752,1.956,221.29,-16.36,18.7
1786933736.226,8939,0,0,0,0,1,heartbeat,0,24.92,0.33,75.39,4.2,0,ttc_capped,0.0249,table,1,37.496178,126.957695,0.213,0.0,1,37.496372,126.957527,1.486,214.03,-16.78,18.42
1786933737.256,8948,0,0,0,0,1,heartbeat,0,24.68,0.28,87.37,4.2,0,ttc_capped,0.0038,table,1,37.496178,126.957695,0.213,0.0,1,37.496346,126.957504,1.704,216.52,-17.21,17.68
1786933739.594,8965,0,0,0,0,1,heartbeat,0,24.22,-0.16,9999.0,18.0,0,ttc_capped,0.0003,table,1,37.496304,126.957718,0.034,0.0,1,37.496288,126.957458,2.361,217.79,-20.23,13.32
1786933740.645,8975,0,0,0,0,1,heartbeat,0,23.79,-0.63,9999.0,18.0,0,ttc_capped,0.0012,table,1,37.4963,126.957718,0.114,0.0,1,37.496246,126.957436,2.315,215.26,-22.39,8.04
1786933741.696,8985,0,0,0,0,1,heartbeat,0,24.19,-0.74,9999.0,18.0,0,ttc_capped,0.0007,table,1,37.496269,126.957695,0.155,0.0,1,37.496216,126.95742,1.993,211.16,-23.88,3.87
1786933742.748,8995,0,0,0,0,1,heartbeat,0,25.15,-1.17,9999.0,18.0,0,ttc_capped,0.0006,table,1,37.496281,126.957672,0.097,0.0,1,37.496178,126.957397,2.111,213.9,-25.15,-0.3
1786933743.805,9005,0,0,0,0,1,heartbeat,0,27.73,-1.86,9999.0,18.0,0,ttc_capped,0.0006,table,1,37.496307,126.957664,0.089,0.0,1,37.49612,126.957352,2.439,216.61,-27.15,-5.64
1786933744.846,9013,0,0,0,0,1,heartbeat,0,31.25,-1.95,9999.0,18.0,0,ttc_capped,0.0007,table,1,37.496326,126.957657,0.041,0.0,1,37.496067,126.957314,2.377,214.39,-29.24,-11.03
1786933745.856,9024,0,0,0,0,1,heartbeat,0,35.05,-1.89,9999.0,18.0,0,ttc_capped,0.0004,table,1,37.496346,126.957649,0.03,0.0,1,37.496029,126.957291,2.097,212.29,-31.04,-16.27
1786933746.865,9034,0,0,0,0,1,heartbeat,0,39.34,-2.53,9999.0,18.0,0,ttc_capped,0.0003,table,1,37.496361,126.957649,0.123,0.0,1,37.495987,126.957253,2.703,216.33,-32.96,-21.46
1786933747.884,9043,0,0,0,0,1,heartbeat,0,44.41,-2.43,9999.0,10.0,0,ttc_capped,0.0003,table,1,37.496372,126.957642,0.131,0.0,1,37.495964,126.957237,2.435,216.5,-35.28,-26.97
1786933748.918,9053,0,0,0,0,1,heartbeat,0,48.78,-2.04,9999.0,10.0,0,ttc_capped,0.0003,table,1,37.49638,126.957642,0.355,0.0,1,37.495941,126.957222,2.025,212.7,-37.03,-31.76
1786933749.92,9063,0,0,0,0,1,heartbeat,0,51.89,-1.5,9999.0,10.0,0,ttc_capped,0.0003,table,1,37.496395,126.957634,0.114,0.0,1,37.495934,126.95723,1.536,204.35,-37.83,-35.53
1786933750.972,9073,0,0,0,0,1,heartbeat,0,54.7,-1.31,9999.0,10.0,0,ttc_capped,0.0002,table,1,37.496418,126.957642,0.164,0.0,1,37.495918,126.957237,1.437,195.5,-38.11,-39.23
1786933752.028,9083,0,0,0,0,1,heartbeat,0,56.77,-1.08,9999.0,10.0,0,ttc_capped,0.0003,table,1,37.496426,126.957642,0.153,0.0,1,37.495907,126.957245,1.247,194.92,-38.06,-42.13
1786933753.081,9093,0,0,0,0,1,heartbeat,0,59.4,-1.46,9999.0,10.0,0,ttc_capped,0.0001,table,1,37.496449,126.957642,0.095,0.0,1,37.495888,126.95723,1.526,205.14,-38.33,-45.37
